source,target,tgt_lng,src_lng,ship_id,ship_type,nation,variant,zh_CN_standard,zh_CN_target,same_source_alternatives
Mullany,马拉尼,zh-CN,en,101391,驱逐,白鹰,,马拉尼,马拉尼,
Murasaki,紫,zh-CN,en,11000061,轻航,联动阵营,,紫,紫,
Murasaki Shion,紫咲诗音,zh-CN,en,900805,轻航,联动阵营,,紫咲诗音,紫咲诗音,
Murmansk,摩尔曼斯克,zh-CN,en,702061,轻巡,北方联合,,摩尔曼斯克,摩尔曼斯克,
Musashi,鳄,zh-CN,en,305101,战列,重樱,,武藏,鳄,
Musketeer,火枪手,zh-CN,en,201271,驱逐,皇家,,火枪手,火枪手,
Mutsu,鲛,zh-CN,en,305061,战列,重樱,,陆奥,鲛,
Mutsuki,松,zh-CN,en,301321,驱逐,重樱,,睦月,松,
Myoukou,獌,zh-CN,en,303071,重巡,重樱,,妙高,獌,
Nachi,狏,zh-CN,en,303081,重巡,重樱,,那智,狏,
Naganami,苌,zh-CN,en,301831,驱逐,重樱,,长波,苌,
Nagara,貊,zh-CN,en,302041,轻巡,重樱,,长良,貊,
Nagato,鲨,zh-CN,en,305051,战列,重樱,,长门,鲨,
Nagato META,鲨·META,zh-CN,en,900459,战列,META,META,长门·META,鲨·META,
Nagato.META,鲨·META,zh-CN,en,900459,战列,META,META,长门·META,鲨·META,
Nagatsuki,枨,zh-CN,en,301391,驱逐,重樱,,长月,枨,
Nagisa,凪咲,zh-CN,en,10600051,战列,联动阵营,,凪咲,凪咲,
Naka,豻,zh-CN,en,302141,轻巡,重樱,,那珂,豻,
Nakiri Ayame,百鬼绫目,zh-CN,en,900803,重巡,联动阵营,,百鬼绫目,百鬼绫目,
Namiko,奈美子,zh-CN,en,10800041,重巡,联动阵营,,奈美子,奈美子,
Nana Asta Deviluke,娜娜·阿丝达·戴比路克,zh-CN,en,900474,驱逐,联动阵营,,娜娜·阿丝达·戴比路克,娜娜·阿丝达·戴比路克,
Nana Astar Deviluke,娜娜·阿丝达·戴比路克,zh-CN,en,900474,驱逐,联动阵营,,娜娜·阿丝达·戴比路克,娜娜·阿丝达·戴比路克,
Napoli,那不勒斯,zh-CN,en,699021,重巡,撒丁帝国,,那不勒斯,那不勒斯,
Natori,猽,zh-CN,en,302061,轻巡,重樱,,名取,猽,
Natsuiro Matsuri,夏色祭,zh-CN,en,900802,驱逐,联动阵营,,夏色祭,夏色祭,
Nautilus,鹦鹉螺,zh-CN,en,108071,潜艇,白鹰,,鹦鹉螺,鹦鹉螺,
Nayoro,貀,zh-CN,en,302291,轻巡,重樱,,名寄,貀,
Nelson,纳尔逊,zh-CN,en,205031,战列,皇家,,纳尔逊,纳尔逊,
Neptune,海王星,zh-CN,en,299011,轻巡,皇家,,海王星,海王星,海王星 [皇家 轻巡] | 涅普顿 [联动阵营 轻巡]
Neptune,涅普顿,zh-CN,en,10100011,轻巡,联动阵营,,涅普顿,涅普顿,海王星 [皇家 轻巡] | 涅普顿 [联动阵营 轻巡]
Nevada,内华达,zh-CN,en,105011,战列,白鹰,,内华达,内华达,
Nevada META,内华达·META,zh-CN,en,9705091,战列,META,META,内华达·META,内华达·META,
Nevada.META,内华达·META,zh-CN,en,9705091,战列,META,META,内华达·META,内华达·META,
New Jersey,花园,zh-CN,en,105171,战列,白鹰,,新泽西,花园,
New Orleans,新奥尔良,zh-CN,en,103121,重巡,白鹰,,新奥尔良,新奥尔良,
Newcastle,纽卡斯尔,zh-CN,en,202191,轻巡,皇家,,纽卡斯尔,纽卡斯尔,
Nicholas,尼古拉斯,zh-CN,en,101311,驱逐,白鹰,,尼古拉斯,尼古拉斯,
Nicoloso da Recco,尼科洛索·达雷科,zh-CN,en,601061,驱逐,撒丁帝国,,尼科洛索·达雷科,尼科洛索·达雷科,
Nidaime,第二代,zh-CN,en,10800081,航战,联动阵营,,第二代,第二代,
Niizuki,枥,zh-CN,en,301561,驱逐,重樱,,新月,枥,
Nina Friede,妮娜·弗里德,zh-CN,en,900518,战列,联动阵营,,妮娜·弗里德,妮娜·弗里德,
Ning Hai,宁海,zh-CN,en,502021,轻巡,东煌,,宁海,宁海,
Noire,诺瓦露,zh-CN,en,10100021,重巡,联动阵营,,诺瓦露,诺瓦露,
Norfolk,诺福克,zh-CN,en,203051,重巡,皇家,,诺福克,诺福克,
North Carolina,北卡罗来纳,zh-CN,en,105121,战列,白鹰,,北卡罗来纳,北卡罗来纳,
Northampton,北安普敦,zh-CN,en,103031,重巡,白鹰,,北安普敦,北安普敦,
Northampton II,北安普敦II,zh-CN,en,103261,重巡,白鹰,II型,北安普敦II,北安普敦II,
Noshiro,貅,zh-CN,en,302211,轻巡,重樱,,能代,貅,
Noshiro μ,貅(μ兵装),zh-CN,en,302241,轻巡,重樱,μ兵装,能代(μ兵装),貅(μ兵装),
Nowaki,苓,zh-CN,en,301201,驱逐,重樱,,野分,苓,
Nubian,努比亚人,zh-CN,en,201371,驱逐,皇家,,努比亚人,努比亚人,努比亚人 [皇家 驱逐] | 努比亚人-药剂师 [通用 战巡]
Nubian,努比亚人-药剂师,zh-CN,en,900416,战巡,通用,,努比亚人-药剂师,努比亚人-药剂师,努比亚人 [皇家 驱逐] | 努比亚人-药剂师 [通用 战巡]
Nyotengu,女天狗,zh-CN,en,10600061,正航,联动阵营,,女天狗,女天狗,
Nürnberg,诺菈,zh-CN,en,402051,轻巡,铁血,,纽伦堡,诺菈,
Observer zero,观察者-零,zh-CN,en,900136,正航,白鹰,,观察者-零,观察者-零,
Odin,沃登,zh-CN,en,499041,战巡,铁血,,奥丁,沃登,
Ognevoy,火力,zh-CN,en,701111,驱逐,北方联合,,火力,火力,
Oite,椎,zh-CN,en,301851,驱逐,重樱,,追风,椎,
Oklahoma,俄克拉荷马,zh-CN,en,105021,战列,白鹰,,俄克拉荷马,俄克拉荷马,
Oleg,奥列格,zh-CN,en,702081,轻巡,北方联合,,奥列格,奥列格,
Omaha,奥马哈,zh-CN,en,102011,轻巡,白鹰,,奥马哈,奥马哈,
Ooshio,荙,zh-CN,en,301641,驱逐,重樱,,大潮,荙,
Origami Tobiichi,鸢一折纸,zh-CN,en,11500021,正航,联动阵营,,鸢一折纸,鸢一折纸,
Otto von Alvensleben,奥莉薇娅·冯·阿诺德,zh-CN,en,401991,驱逐,铁血,,奥托·冯·阿尔文斯莱本,奥莉薇娅·冯·阿诺德,
Oumi,鳉,zh-CN,en,305161,战列,重樱,,近江,鳉,
Owari,鳂,zh-CN,en,305131,战列,重樱,,尾张,鳂,
Oyashio,藮,zh-CN,en,301281,驱逐,重樱,,亲潮,藮,
Ozornoy,顽皮,zh-CN,en,701131,驱逐,北方联合,,顽皮,顽皮,
Painlevé,伴尔维,zh-CN,en,807021,正航,自由鸢尾,,伴尔维,伴尔维,
Pamiat' Merkuria,水星纪念,zh-CN,en,702021,轻巡,北方联合,,水星纪念,水星纪念,
Pamiat' Merkuria META,水星纪念·META,zh-CN,en,9702071,轻巡,META,META,水星纪念·META,水星纪念·META,
Pamiat' Merkuria.META,水星纪念·META,zh-CN,en,9702071,轻巡,META,META,水星纪念·META,水星纪念·META,
Pasadena,帕萨迪纳,zh-CN,en,102351,轻巡,白鹰,,帕萨迪纳,帕萨迪纳,
Patricia Abelheim,帕特莉夏·阿贝尔海姆,zh-CN,en,10900031,战列,联动阵营,,帕特莉夏·阿贝尔海姆,帕特莉夏·阿贝尔海姆,
Patty,派蒂,zh-CN,en,10600141,潜艇,联动阵营,,派蒂,派蒂,
Pearl,珍珠号,zh-CN,en,9600141,风帆,飓风船团,,珍珠号,珍珠号,
Penelope,佩内洛珀,zh-CN,en,202291,轻巡,皇家,,佩内洛珀,佩内洛珀,
Pennsylvania,宾夕法尼亚,zh-CN,en,105031,战列,白鹰,,宾夕法尼亚,宾夕法尼亚,
Pensacola,彭萨科拉,zh-CN,en,103011,重巡,白鹰,,彭萨科拉,彭萨科拉,
Perseus,英仙座,zh-CN,en,206061,轻航,皇家,,英仙座,英仙座,
Peter Strasser,佩特菈·斯坦贝瑟,zh-CN,en,407031,正航,铁血,,彼得·史特拉塞,佩特菈·斯坦贝瑟,
Phoenix,菲尼克斯,zh-CN,en,102041,轻巡,白鹰,,菲尼克斯,菲尼克斯,
Ping Hai,平海,zh-CN,en,502031,轻巡,东煌,,平海,平海,
Pittsburgh,匹兹堡,zh-CN,en,103281,重巡,白鹰,,匹兹堡,匹兹堡,
Plymouth,普利茅斯,zh-CN,en,299051,轻巡,皇家,,普利茅斯,普利茅斯,
Pola,波拉,zh-CN,en,603031,重巡,撒丁帝国,,波拉,波拉,
Poltava,波尔塔瓦,zh-CN,en,705081,战列,北方联合,,波尔塔瓦,波尔塔瓦,
Pompeo Magno,庞培·马格诺,zh-CN,en,601071,驱逐,撒丁帝国,,庞培·马格诺,庞培·马格诺,
Portland,波特兰,zh-CN,en,103061,重巡,白鹰,,波特兰,波特兰,
Portsmouth Adventure,朴茨茅斯冒险号,zh-CN,en,900466,风帆,飓风船团,,朴茨茅斯冒险号,朴茨茅斯冒险号,
Prince of Wales,威尔士亲王,zh-CN,en,205061,战列,皇家,,威尔士亲王,威尔士亲王,
Princess Hime,公主,zh-CN,en,10800091,运输,联动阵营,,公主,公主,
Princeton,普林斯顿,zh-CN,en,107231,轻航,白鹰,,普林斯顿,普林斯顿,
Princeton META,普林斯顿·META,zh-CN,en,9706031,轻航,META,META,普林斯顿·META,普林斯顿·META,
Princeton.META,普林斯顿·META,zh-CN,en,9706031,轻航,META,META,普林斯顿·META,普林斯顿·META,
Prinz Adalbert,阿德莉娅亲王,zh-CN,en,403101,重巡,铁血,,阿达尔伯特亲王,阿德莉娅亲王,
Prinz Eugen,萨沃伊亲王,zh-CN,en,403031,重巡,铁血,,欧根亲王,萨沃伊亲王,
Prinz Eugen μ,萨沃伊亲王(μ兵装),zh-CN,en,403151,重巡,铁血,μ兵装,欧根亲王(μ兵装),萨沃伊亲王(μ兵装),
Prinz Heinrich,赫莉米娜亲王,zh-CN,en,403091,重巡,铁血,,海因里希亲王,赫莉米娜亲王,
Prinz Rupprecht,蕾贝卡亲王,zh-CN,en,499071,战巡,铁血,,鲁普雷希特亲王,蕾贝卡亲王,
Prototype Bulin MKII,试作型布里MKII,zh-CN,en,100011,驱逐,通用,II型,试作型布里MKII,试作型布里MKII,
Purple Heart,绀紫之心,zh-CN,en,10100051,轻巡,联动阵营,,绀紫之心,绀紫之心,
Queen Anne's Revenge,安妮女王复仇号,zh-CN,en,9600121,风帆,飓风船团,,安妮女王复仇号,安妮女王复仇号,
Queen Elizabeth,伊丽莎白女王,zh-CN,en,205011,战列,皇家,,伊丽莎白女王,伊丽莎白女王,
Queen Elizabeth META,伊丽莎白女王·META,zh-CN,en,9705041,战列,META,META,伊丽莎白女王·META,伊丽莎白女王·META,
Queen Elizabeth.META,伊丽莎白女王·META,zh-CN,en,9705041,战列,META,META,伊丽莎白女王·META,伊丽莎白女王·META,
Quincy,昆西,zh-CN,en,103091,重巡,白鹰,,昆西,昆西,
Radford,拉德福特,zh-CN,en,101291,驱逐,白鹰,,拉德福特,拉德福特,
Raffaello,拉斐尔,zh-CN,en,605081,战列,撒丁帝国,,拉斐尔,拉斐尔,
Raleigh,罗利,zh-CN,en,102021,轻巡,白鹰,,罗利,罗利,
Ranger,突击者,zh-CN,en,107041,轻航,白鹰,,突击者,突击者,
Regensburg,瑞吉娜,zh-CN,en,402101,轻巡,铁血,,雷根斯堡,瑞吉娜,
Regensburg META,瑞吉娜·META,zh-CN,en,9702111,轻巡,META,META,雷根斯堡·META,瑞吉娜·META,
Regensburg.META,瑞吉娜·META,zh-CN,en,9702111,轻巡,META,META,雷根斯堡·META,瑞吉娜·META,
Reisalin Stout,莱莎琳·斯托特,zh-CN,en,10900011,轻巡,联动阵营,,莱莎琳·斯托特,莱莎琳·斯托特,
Reno,里诺,zh-CN,en,102261,轻巡,白鹰,,里诺,里诺,
Renown,声望,zh-CN,en,204011,战巡,皇家,,声望,声望,
Renown META,声望·META,zh-CN,en,900504,战巡,META,META,声望·META,声望·META,
Renown.META,声望·META,zh-CN,en,900504,战巡,META,META,声望·META,声望·META,
Repulse,反击,zh-CN,en,204021,战巡,皇家,,反击,反击,
Repulse META,反击·META,zh-CN,en,900505,战巡,META,META,反击·META,反击·META,
Repulse.META,反击·META,zh-CN,en,900505,战巡,META,META,反击·META,反击·META,
Revenge,复仇,zh-CN,en,205111,战列,皇家,,复仇,复仇,
Richelieu,黎塞留,zh-CN,en,805011,战列,自由鸢尾,,黎塞留,黎塞留,
Richmond,里士满,zh-CN,en,102111,轻巡,白鹰,,里士满,里士满,
Rikka Takarada,宝多六花,zh-CN,en,10800011,轻巡,联动阵营,,宝多六花,宝多六花,
Ritsuko Akizuki,秋月律子,zh-CN,en,10700051,运输,联动阵营,,秋月律子,秋月律子,
RN Alberto di Giussano,阿尔贝托·迪·朱塞诺,zh-CN,en,602041,轻巡,撒丁帝国,,阿尔贝托·迪·朱塞诺,阿尔贝托·迪·朱塞诺,
RN Alfredo Oriani,阿尔弗雷多·奥里亚尼,zh-CN,en,601081,驱逐,撒丁帝国,,阿尔弗雷多·奥里亚尼,阿尔弗雷多·奥里亚尼,
RN Andrea Doria,安德烈亚·多利亚,zh-CN,en,605071,战列,撒丁帝国,,安德烈亚·多利亚,安德烈亚·多利亚,
RN Aquila,天鹰,zh-CN,en,607011,正航,撒丁帝国,,天鹰,天鹰,
RN Attilio Regolo,阿蒂利奥·雷戈洛,zh-CN,en,601101,驱逐,撒丁帝国,,阿蒂利奥·雷戈洛,阿蒂利奥·雷戈洛,
RN Bartolomeo Colleoni,巴托洛梅奥·科莱奥尼,zh-CN,en,602031,轻巡,撒丁帝国,,巴托洛梅奥·科莱奥尼,巴托洛梅奥·科莱奥尼,
RN Bolzano,博尔扎诺,zh-CN,en,603051,重巡,撒丁帝国,,博尔扎诺,博尔扎诺,
RN Carabiniere,龙骑兵,zh-CN,en,601021,驱逐,撒丁帝国,,龙骑兵,龙骑兵,
RN Conte di Cavour,加富尔伯爵,zh-CN,en,605051,战列,撒丁帝国,,加富尔伯爵,加富尔伯爵,
RN Duca degli Abruzzi,阿布鲁齐公爵,zh-CN,en,602011,轻巡,撒丁帝国,,阿布鲁齐公爵,阿布鲁齐公爵,
RN Emanuele Pessagno,埃曼努埃尔·佩萨格诺,zh-CN,en,601091,驱逐,撒丁帝国,,埃曼努埃尔·佩萨格诺,埃曼努埃尔·佩萨格诺,
RN Francesco Caracciolo,弗朗西斯科·卡拉乔洛,zh-CN,en,605091,战列,撒丁帝国,,弗朗西斯科·卡拉乔洛,弗朗西斯科·卡拉乔洛,
RN Giosue Carducci,焦苏埃·卡尔杜齐,zh-CN,en,601111,驱逐,撒丁帝国,,焦苏埃·卡尔杜齐,焦苏埃·卡尔杜齐,
RN Giulio Cesare,朱利奥·凯撒,zh-CN,en,605061,战列,撒丁帝国,,朱利奥·凯撒,朱利奥·凯撒,
RN Giuseppe Garibaldi,朱塞佩·加里波第,zh-CN,en,602021,轻巡,撒丁帝国,,朱塞佩·加里波第,朱塞佩·加里波第,
RN Gorizia,戈里齐亚,zh-CN,en,603061,重巡,撒丁帝国,,戈里齐亚,戈里齐亚,
RN Impero,帝国,zh-CN,en,607021,正航,撒丁帝国,,帝国,帝国,
RN Leonardo da Vinci,莱昂纳多·达·芬奇,zh-CN,en,608021,潜艇,撒丁帝国,,莱昂纳多·达·芬奇,莱昂纳多·达·芬奇,
RN Libeccio,西南风,zh-CN,en,601051,驱逐,撒丁帝国,,西南风,西南风,
RN Littorio,利托里奥,zh-CN,en,605021,战列,撒丁帝国,,利托里奥,利托里奥,
RN Maestrale,西北风,zh-CN,en,601041,驱逐,撒丁帝国,,西北风,西北风,
RN Maggiore Baracca,巴拉卡少校,zh-CN,en,608031,潜艇,撒丁帝国,,巴拉卡少校,巴拉卡少校,
RN Marco Polo,马可波罗,zh-CN,en,699011,战列,撒丁帝国,,马可波罗,马可波罗,马可波罗 [撒丁帝国 战列] | 马可波罗（王座 前排） [撒丁帝国 超巡] | 马可波罗（圣座 前排） [撒丁帝国 超巡]
RN Marco Polo,马可波罗（圣座 前排）,zh-CN,en,900536,超巡,撒丁帝国,,马可波罗（圣座 前排）,马可波罗（圣座 前排）,马可波罗 [撒丁帝国 战列] | 马可波罗（王座 前排） [撒丁帝国 超巡] | 马可波罗（圣座 前排） [撒丁帝国 超巡]
RN Marco Polo,马可波罗（王座 前排）,zh-CN,en,900485,超巡,撒丁帝国,,马可波罗（王座 前排）,马可波罗（王座 前排）,马可波罗 [撒丁帝国 战列] | 马可波罗（王座 前排） [撒丁帝国 超巡] | 马可波罗（圣座 前排） [撒丁帝国 超巡]
RN Napoli,那不勒斯,zh-CN,en,699021,重巡,撒丁帝国,,那不勒斯,那不勒斯,
RN Nicoloso da Recco,尼科洛索·达雷科,zh-CN,en,601061,驱逐,撒丁帝国,,尼科洛索·达雷科,尼科洛索·达雷科,
RN Pola,波拉,zh-CN,en,603031,重巡,撒丁帝国,,波拉,波拉,
RN Pompeo Magno,庞培·马格诺,zh-CN,en,601071,驱逐,撒丁帝国,,庞培·马格诺,庞培·马格诺,
RN Raffaello,拉斐尔,zh-CN,en,605081,战列,撒丁帝国,,拉斐尔,拉斐尔,
RN Roma,罗马,zh-CN,en,605031,战列,撒丁帝国,,罗马,罗马,
RN Torricelli,托里拆利,zh-CN,en,608011,潜艇,撒丁帝国,,托里拆利,托里拆利,
RN Trento,特伦托,zh-CN,en,603011,重巡,撒丁帝国,,特伦托,特伦托,
RN Trieste,的里雅斯特,zh-CN,en,603041,重巡,撒丁帝国,,的里雅斯特,的里雅斯特,
RN Ugolino Vivaldi,乌戈里诺·维瓦尔迪,zh-CN,en,601121,驱逐,撒丁帝国,,乌戈里诺·维瓦尔迪,乌戈里诺·维瓦尔迪,
RN Vincenzo Gioberti,文琴佐·焦贝蒂,zh-CN,en,601031,驱逐,撒丁帝国,,文琴佐·焦贝蒂,文琴佐·焦贝蒂,
RN Vittorio Cuniberti,维托里奥·库尼贝尔蒂,zh-CN,en,699031,驱逐,撒丁帝国,,维托里奥·库尼贝尔蒂,维托里奥·库尼贝尔蒂,
RN Vittorio Veneto,维托里奥·维内托,zh-CN,en,605011,战列,撒丁帝国,,维托里奥·维内托,维托里奥·维内托,
RN Zara,扎达尔,zh-CN,en,603021,重巡,撒丁帝国,,扎拉,扎达尔,
Rodney,罗德尼,zh-CN,en,205041,战列,皇家,,罗德尼,罗德尼,
Rodney META,罗德尼·META,zh-CN,en,9705051,战列,META,META,罗德尼·META,罗德尼·META,
Rodney.META,罗德尼·META,zh-CN,en,9705051,战列,META,META,罗德尼·META,罗德尼·META,
Rogue Kaiser Gridman,狂战帝王古立特,zh-CN,en,900808,轻巡,联动阵营,,狂战帝王古立特,狂战帝王古立特,
Roma,罗马,zh-CN,en,605031,战列,撒丁帝国,,罗马,罗马,
Roon,艾伯塔,zh-CN,en,499011,重巡,铁血,,罗恩,艾伯塔,
Roon μ,艾伯塔(μ兵装),zh-CN,en,403081,重巡,铁血,μ兵装,罗恩(μ兵装),艾伯塔(μ兵装),
Royal Fortune,皇家财富号,zh-CN,en,900405,风帆,飓风船团,,皇家财富号,皇家财富号,
Royal James,皇家詹姆斯号,zh-CN,en,9600151,风帆,飓风船团,,皇家詹姆斯号,皇家詹姆斯号,
Royal Oak,皇家橡树,zh-CN,en,205141,战列,皇家,,皇家橡树,皇家橡树,
Royal.META,皇家方舟·META,zh-CN,en,900334,正航,META,META,皇家方舟·META,皇家方舟·META,
Ryu Lion,琉·璃昂,zh-CN,en,11400021,轻巡,联动阵营,,琉·璃昂,琉·璃昂,
Ryuuhou,鸗,zh-CN,en,306071,轻航,重樱,,龙凤,鸗,
Ryuujou,枭,zh-CN,en,306061,轻航,重樱,,龙骧,枭,
Saint Louis,路易九世,zh-CN,en,899011,重巡,自由鸢尾,,路易九世,路易九世,
Sairenji Haruna,西连寺春菜,zh-CN,en,900477,战巡,联动阵营,,西连寺春菜,西连寺春菜,
Sakawa,貄,zh-CN,en,302231,轻巡,重樱,,酒匂,貄,
Salt Lake City,盐湖城,zh-CN,en,103021,重巡,白鹰,,盐湖城,盐湖城,
San Diego,圣戴安娜,zh-CN,en,102081,轻巡,白鹰,,圣地亚哥,圣戴安娜,
San Francisco,雾城,zh-CN,en,103141,重巡,白鹰,,旧金山,雾城,
San Jacinto,圣哈辛托,zh-CN,en,107301,轻航,白鹰,,圣哈辛托,圣哈辛托,
San Juan,圣胡安,zh-CN,en,102221,轻巡,白鹰,,圣胡安,圣胡安,
Santa Fe,圣塔菲,zh-CN,en,102341,轻巡,白鹰,,圣塔菲,圣塔菲,
Saratoga,萨拉托加,zh-CN,en,107031,正航,白鹰,,萨拉托加,萨拉托加,
Scharnhorst,格尔林德,zh-CN,en,404011,战巡,铁血,,沙恩霍斯特,格尔林德,
Scharnhorst META,格尔林德·META,zh-CN,en,9704021,战巡,META,META,沙恩霍斯特·META,格尔林德·META,
Scharnhorst.META,格尔林德·META,zh-CN,en,9704021,战巡,META,META,沙恩霍斯特·META,格尔林德·META,
Scylla,斯库拉,zh-CN,en,202331,轻巡,皇家,,斯库拉,斯库拉,
Seattle,西雅图,zh-CN,en,199011,轻巡,白鹰,,西雅图,西雅图,
Sendai,貆,zh-CN,en,302121,轻巡,重樱,,川内,貆,
Serri Glaus,赛莉·古劳斯,zh-CN,en,10900051,正航,联动阵营,,赛莉·古劳斯,赛莉·古劳斯,
Sevastopol,塞瓦斯托波尔,zh-CN,en,705071,战列,北方联合,,塞瓦斯托波尔,塞瓦斯托波尔,
Seydlitz,桑德菈,zh-CN,en,404031,战巡,铁血,,塞德利茨,桑德菈,
Shandy,香迪,zh-CN,en,10600121,重巡,联动阵营,,香迪,香迪,
Shangri-La,香格里拉,zh-CN,en,107381,正航,白鹰,,香格里拉,香格里拉,
Sheffield,谢菲尔德,zh-CN,en,202081,轻巡,皇家,,谢菲尔德,谢菲尔德,
Sheffield META,谢菲尔德·META,zh-CN,en,9702031,轻巡,META,META,谢菲尔德·META,谢菲尔德·META,
Sheffield μ,谢菲尔德(μ兵装),zh-CN,en,202251,轻巡,皇家,μ兵装,谢菲尔德(μ兵装),谢菲尔德(μ兵装),
Sheffield.META,谢菲尔德·META,zh-CN,en,9702031,轻巡,META,META,谢菲尔德·META,谢菲尔德·META,
Shigure,栴,zh-CN,en,301151,驱逐,重樱,,时雨,栴,
Shimakaze,芒,zh-CN,en,301291,驱逐,重樱,,岛风,芒,
Shimanto,虒,zh-CN,en,399061,轻巡,重樱,,四万十,虒,
Shinano,鵗,zh-CN,en,307081,正航,重樱,,信浓,鵗,
Shinano-chan,小鵗,zh-CN,en,307141,正航,重樱,,小信浓,小鵗,
Shirakami Fubuki,白上吹雪,zh-CN,en,900801,驱逐,联动阵营,,白上吹雪,白上吹雪,
Shiranui,蒲,zh-CN,en,301181,驱逐,重樱,,不知火,蒲,
Shiratsuyu,梿,zh-CN,en,301131,驱逐,重樱,,白露,梿,
Shirayuki,杉,zh-CN,en,301021,驱逐,重樱,,白雪,杉,
Shizuku,雫,zh-CN,en,10600111,战列,联动阵营,,雫,雫,
Shouhou,鹞,zh-CN,en,306051,轻航,重樱,,祥凤,鹞,
Shoukaku,鹬,zh-CN,en,307051,正航,重樱,,翔鹤,鹬,
Shropshire,什罗普郡,zh-CN,en,203021,重巡,皇家,,什罗普郡,什罗普郡,
Sims,西姆斯,zh-CN,en,101241,驱逐,白鹰,,西姆斯,西姆斯,
Siren Compiler,构建者,zh-CN,en,900506,正航,塞壬,,构建者,构建者,
Sirius,天狼星,zh-CN,en,202201,轻巡,皇家,,天狼星,天狼星,
Smalley,斯莫利,zh-CN,en,101421,驱逐,白鹰,,斯莫利,斯莫利,
SMS Elbing,埃尔薇菈,zh-CN,en,402081,轻巡,铁血,,埃尔宾,埃尔薇菈,
SMS Emden,埃玛,zh-CN,en,402071,轻巡,铁血,,埃姆登,埃玛,
SMS Lützow,露西,zh-CN,en,404041,战巡,铁血,,吕佐夫,露西,
SMS Seydlitz,桑德菈,zh-CN,en,404031,战巡,铁血,,塞德利茨,桑德菈,
SMS Thüringen,特鲁德,zh-CN,en,405041,战列,铁血,,图林根,特鲁德,
SMS Yorck,伊冯娜,zh-CN,en,403111,重巡,铁血,,约克,伊冯娜,
SN Admiral Nakhimov,纳希莫夫海军上将,zh-CN,en,799021,正航,北方联合,,纳希莫夫海军上将,纳希莫夫海军上将,
SN Arkhangelsk,阿尔汉格尔斯克,zh-CN,en,705061,战列,北方联合,,阿尔汉格尔斯克,阿尔汉格尔斯克,
SN Avrora,阿芙乐尔,zh-CN,en,702011,轻巡,北方联合,,阿芙乐尔,阿芙乐尔,
SN Bogatyr,博加特里,zh-CN,en,702101,轻巡,北方联合,,博加特里,博加特里,
SN Chapayev,恰巴耶夫,zh-CN,en,702031,轻巡,北方联合,,恰巴耶夫,恰巴耶夫,
SN Chkalov,契卡洛夫,zh-CN,en,799011,正航,北方联合,,契卡洛夫,契卡洛夫,
SN Dmitri Donskoi,迪米特里·顿斯科伊,zh-CN,en,799031,轻巡,北方联合,,迪米特里·顿斯科伊,迪米特里·顿斯科伊,
SN Gangut,甘古特,zh-CN,en,705011,战列,北方联合,,甘古特,甘古特,
SN Gremyashchy,雷鸣,zh-CN,en,701071,驱逐,北方联合,,雷鸣,雷鸣,
SN Gromky,洪亮,zh-CN,en,701081,驱逐,北方联合,,洪亮,洪亮,
SN Grozny,威严,zh-CN,en,701021,驱逐,北方联合,,威严,威严,
SN Kazan,喀山,zh-CN,en,705091,战列,北方联合,,喀山,喀山,
SN Kiev,基辅,zh-CN,en,701101,驱逐,北方联合,,基辅,基辅,
SN Kirov,基洛夫,zh-CN,en,702041,轻巡,北方联合,,基洛夫,基洛夫,
SN Krasny Kavkaz,红色山脉,zh-CN,en,702091,轻巡,北方联合,,红色山脉,红色山脉,
SN Kronshtadt,喀琅施塔得,zh-CN,en,718011,超巡,北方联合,,喀琅施塔得,喀琅施塔得,
SN Kursk,库尔斯克,zh-CN,en,703021,重巡,北方联合,,库尔斯克,库尔斯克,
SN Kuybyshev,古比雪夫,zh-CN,en,702051,轻巡,北方联合,,古比雪夫,古比雪夫,
SN Minsk,明斯克,zh-CN,en,701031,驱逐,北方联合,,明斯克,明斯克,
SN Moskva,莫斯科,zh-CN,en,703031,重巡,北方联合,,莫斯科,莫斯科,
SN Murmansk,摩尔曼斯克,zh-CN,en,702061,轻巡,北方联合,,摩尔曼斯克,摩尔曼斯克,
SN Ognevoy,火力,zh-CN,en,701111,驱逐,北方联合,,火力,火力,
SN Oleg,奥列格,zh-CN,en,702081,轻巡,北方联合,,奥列格,奥列格,
SN Ozornoy,顽皮,zh-CN,en,701131,驱逐,北方联合,,顽皮,顽皮,
SN Pamiat' Merkuria,水星纪念,zh-CN,en,702021,轻巡,北方联合,,水星纪念,水星纪念,
SN Poltava,波尔塔瓦,zh-CN,en,705081,战列,北方联合,,波尔塔瓦,波尔塔瓦,
SN Sevastopol,塞瓦斯托波尔,zh-CN,en,705071,战列,北方联合,,塞瓦斯托波尔,塞瓦斯托波尔,
SN Soobrazitelny,灵敏,zh-CN,en,701091,驱逐,北方联合,,灵敏,灵敏,
SN Sovetskaya Belorussiya,苏维埃贝拉罗斯,zh-CN,en,705041,战列,北方联合,,苏维埃贝拉罗斯,苏维埃贝拉罗斯,
SN Sovetskaya Rossiya,苏维埃罗西亚,zh-CN,en,705051,战列,北方联合,,苏维埃罗西亚,苏维埃罗西亚,
SN Sovetsky Soyuz,苏维埃萨尤斯,zh-CN,en,705021,战列,北方联合,,苏维埃同盟,苏维埃萨尤斯,
