source,target,tgt_lng,src_lng,ship_id,ship_type,nation,variant
Marseillaise,马赛曲,zh-CN,en,902021,轻巡,维希教廷,
Mary Celeste,玛丽·西莱斯特号,zh-CN,en,900462,风帆,飓风船团,
Maryland,马里兰,zh-CN,en,105101,战列,白鹰,
Massachusetts,马萨诸塞,zh-CN,en,105191,战列,白鹰,
Masséna,马塞纳,zh-CN,en,804011,战巡,自由鸢尾,
Matchless,无敌,zh-CN,en,201261,驱逐,皇家,
Matsukaze,松风,zh-CN,en,301311,驱逐,重樱,
Maury,莫里,zh-CN,en,101081,驱逐,白鹰,
Maya,摩耶,zh-CN,en,303131,重巡,重樱,
McCall,麦考尔,zh-CN,en,101071,驱逐,白鹰,
Mecklenburg,梅克伦堡,zh-CN,en,499101,战列,铁血,
Memphis,孟菲斯,zh-CN,en,102161,轻巡,白鹰,
Memphis META,孟菲斯·META,zh-CN,en,900390,轻巡,META,META
Memphis.META,孟菲斯·META,zh-CN,en,900390,轻巡,META,META
Michishio,满潮,zh-CN,en,301651,驱逐,重樱,
Mikasa,三笠,zh-CN,en,305111,战列,重樱,
Mikazuki,三日月,zh-CN,en,301411,驱逐,重樱,
Mikuma,三隈,zh-CN,en,302111,轻巡,重樱,
Miller,米勒,zh-CN,en,101531,驱逐,白鹰,
Minase,水无濑,zh-CN,en,302271,轻巡,重樱,
Minato Aqua,湊阿库娅,zh-CN,en,900807,潜艇,联动阵营,
Minazuki,水无月,zh-CN,en,301371,驱逐,重樱,
Minneapolis,明尼阿波利斯,zh-CN,en,103131,重巡,白鹰,
Minsk,明斯克,zh-CN,en,701031,驱逐,北方联合,
Misaki,海咲,zh-CN,en,10600041,轻巡,联动阵营,
Miyuki,深雪,zh-CN,en,301041,驱逐,重樱,
MNF Algérie,阿尔及利亚-王国军方旗骑士,zh-CN,en,900419,重巡,通用,
MNF Clemenceau,克莱蒙梭,zh-CN,en,905021,战列,维希教廷,
MNF Dunkerque,敦刻尔克,zh-CN,en,904011,战巡,维希教廷,
MNF Dupleix,迪普莱克斯,zh-CN,en,900445,重巡,维希教廷,
MNF Flandre,弗兰德尔,zh-CN,en,900398,超巡,维希教廷,
MNF Fleuret,花剑,zh-CN,en,901051,驱逐,维希教廷,
MNF Foch,福煦,zh-CN,en,903011,重巡,维希教廷,
MNF Gascogne,加斯科涅,zh-CN,en,900399,战列,皇家,
MNF Jean Bart,让·巴尔,zh-CN,en,905011,战列,维希教廷,
MNF Joffre,霞飞-战斗天使,zh-CN,en,900423,正航,通用,
MNF Kersaint,凯尔圣,zh-CN,en,901041,驱逐,维希教廷,
MNF L'Audacieux,果敢,zh-CN,en,900444,驱逐,维希教廷,
MNF L'Indomptable,不屈-王国军守护骑士,zh-CN,en,900420,驱逐,通用,
MNF La Galissonnière,拉·加利索尼埃,zh-CN,en,902011,轻巡,维希教廷,
MNF Le Malin,恶毒,zh-CN,en,901111,驱逐,维希教廷,
MNF Le Mars,勒马尔,zh-CN,en,901011,驱逐,维希教廷,
MNF Marseillaise,马赛曲,zh-CN,en,902021,轻巡,维希教廷,
MNF Mogador,莫加多尔,zh-CN,en,900809,驱逐,维希教廷,
MNF Strasbourg,斯特拉斯堡,zh-CN,en,900446,战巡,维希教廷,
MNF Tartu,塔尔图,zh-CN,en,901021,驱逐,维希教廷,
MNF Vauquelin,沃克兰,zh-CN,en,901031,驱逐,维希教廷,
MNF Épée,重剑,zh-CN,en,901061,驱逐,维希教廷,
Mogador,莫加多尔,zh-CN,en,900809,驱逐,维希教廷,
Mogami,最上,zh-CN,en,302101,轻巡,重樱,
Momo Belia Deviluke,梦梦·贝莉雅·戴比路克,zh-CN,en,900475,轻巡,联动阵营,
Monarch,君主,zh-CN,en,299021,战列,皇家,
Monica,莫妮卡,zh-CN,en,10600071,轻巡,联动阵营,
Montpelier,蒙彼利埃,zh-CN,en,102141,轻巡,白鹰,
Morrison,莫里森,zh-CN,en,101471,驱逐,白鹰,
Moskva,莫斯科,zh-CN,en,703031,重巡,北方联合,
MOT Adventure,冒险号,zh-CN,en,9600161,风帆,飓风船团,
MOT Adventure Galley,加里冒险号,zh-CN,en,900465,风帆,飓风船团,
MOT Adventure Portsmouth,朴茨茅斯冒险号,zh-CN,en,900466,风帆,飓风船团,
MOT Amity,和睦号,zh-CN,en,900523,风帆,飓风船团,
MOT Dolphin,海豚号,zh-CN,en,9600111,风帆,飓风船团,
MOT Fancy,幻想号,zh-CN,en,9600081,风帆,飓风船团,
MOT Ganj-i-Sawai,冈依沙瓦号,zh-CN,en,900468,风帆,飓风船团,
MOT Golden Hind,金鹿号,zh-CN,en,900464,风帆,飓风船团,
MOT Lyme,莱姆号,zh-CN,en,9600131,风帆,飓风船团,
MOT Mary Celeste,玛丽·西莱斯特号,zh-CN,en,900462,风帆,飓风船团,
MOT Pearl,珍珠号,zh-CN,en,9600141,风帆,飓风船团,
MOT Queen Anne's Revenge,安妮女王复仇号,zh-CN,en,9600121,风帆,飓风船团,
MOT Royal Fortune,皇家财富号,zh-CN,en,900405,风帆,飓风船团,
MOT Royal James,皇家詹姆斯号,zh-CN,en,9600151,风帆,飓风船团,
MOT São Martinho,圣马丁号,zh-CN,en,900463,风帆,飓风船团,
MOT Whydah,维达号,zh-CN,en,9600051,风帆,飓风船团,
Mujina,貉,zh-CN,en,10800071,战列,联动阵营,
Mullany,马拉尼,zh-CN,en,101391,驱逐,白鹰,
Murasaki,紫,zh-CN,en,11000061,轻航,联动阵营,
Murasaki Shion,紫咲诗音,zh-CN,en,900805,轻航,联动阵营,
Murmansk,摩尔曼斯克,zh-CN,en,702061,轻巡,北方联合,
Musashi,武藏,zh-CN,en,305101,战列,重樱,
Musketeer,火枪手,zh-CN,en,201271,驱逐,皇家,
Mutsu,陆奥,zh-CN,en,305061,战列,重樱,
Mutsuki,睦月,zh-CN,en,301321,驱逐,重樱,
Myoukou,妙高,zh-CN,en,303071,重巡,重樱,
Nachi,那智,zh-CN,en,303081,重巡,重樱,
Naganami,长波,zh-CN,en,301831,驱逐,重樱,
Nagara,长良,zh-CN,en,302041,轻巡,重樱,
Nagato,长门,zh-CN,en,305051,战列,重樱,
Nagato META,长门·META,zh-CN,en,900459,战列,META,META
Nagato.META,长门·META,zh-CN,en,900459,战列,META,META
Nagatsuki,长月,zh-CN,en,301391,驱逐,重樱,
Nagisa,凪咲,zh-CN,en,10600051,战列,联动阵营,
Naka,那珂,zh-CN,en,302141,轻巡,重樱,
Nakiri Ayame,百鬼绫目,zh-CN,en,900803,重巡,联动阵营,
Namiko,奈美子,zh-CN,en,10800041,重巡,联动阵营,
Nana Asta Deviluke,娜娜·阿丝达·戴比路克,zh-CN,en,900474,驱逐,联动阵营,
Nana Astar Deviluke,娜娜·阿丝达·戴比路克,zh-CN,en,900474,驱逐,联动阵营,
Napoli,那不勒斯,zh-CN,en,699021,重巡,撒丁帝国,
Natori,名取,zh-CN,en,302061,轻巡,重樱,
Natsuiro Matsuri,夏色祭,zh-CN,en,900802,驱逐,联动阵营,
Nautilus,鹦鹉螺,zh-CN,en,108071,潜艇,白鹰,
Nayoro,名寄,zh-CN,en,302291,轻巡,重樱,
Nelson,纳尔逊,zh-CN,en,205031,战列,皇家,
Neptune,海王星,zh-CN,en,299011,轻巡,皇家,
Nevada,内华达,zh-CN,en,105011,战列,白鹰,
Nevada META,内华达·META,zh-CN,en,9705091,战列,META,META
Nevada.META,内华达·META,zh-CN,en,9705091,战列,META,META
New Jersey,新泽西,zh-CN,en,105171,战列,白鹰,
New Orleans,新奥尔良,zh-CN,en,103121,重巡,白鹰,
Newcastle,纽卡斯尔,zh-CN,en,202191,轻巡,皇家,
Nicholas,尼古拉斯,zh-CN,en,101311,驱逐,白鹰,
Nicoloso da Recco,尼科洛索·达雷科,zh-CN,en,601061,驱逐,撒丁帝国,
Nidaime,第二代,zh-CN,en,10800081,航战,联动阵营,
Niizuki,新月,zh-CN,en,301561,驱逐,重樱,
Nina Friede,妮娜·弗里德,zh-CN,en,900518,战列,联动阵营,
Ning Hai,宁海,zh-CN,en,502021,轻巡,东煌,
Noire,诺瓦露,zh-CN,en,10100021,重巡,联动阵营,
Norfolk,诺福克,zh-CN,en,203051,重巡,皇家,
North Carolina,北卡罗来纳,zh-CN,en,105121,战列,白鹰,
Northampton,北安普敦,zh-CN,en,103031,重巡,白鹰,
Northampton II,北安普敦II,zh-CN,en,103261,重巡,白鹰,II型
Noshiro,能代,zh-CN,en,302211,轻巡,重樱,
Noshiro μ,能代(μ兵装),zh-CN,en,302241,轻巡,重樱,μ兵装
Nowaki,野分,zh-CN,en,301201,驱逐,重樱,
Nubian,努比亚人,zh-CN,en,201371,驱逐,皇家,
Nyotengu,女天狗,zh-CN,en,10600061,正航,联动阵营,
Nürnberg,纽伦堡,zh-CN,en,402051,轻巡,铁血,
Observer zero,观察者-零,zh-CN,en,900136,正航,白鹰,
Odin,奥丁,zh-CN,en,499041,战巡,铁血,
Ognevoy,火力,zh-CN,en,701111,驱逐,北方联合,
Oite,追风,zh-CN,en,301851,驱逐,重樱,
Oklahoma,俄克拉荷马,zh-CN,en,105021,战列,白鹰,
Oleg,奥列格,zh-CN,en,702081,轻巡,北方联合,
Omaha,奥马哈,zh-CN,en,102011,轻巡,白鹰,
Ooshio,大潮,zh-CN,en,301641,驱逐,重樱,
Origami Tobiichi,鸢一折纸,zh-CN,en,11500021,正航,联动阵营,
Otto von Alvensleben,奥托·冯·阿尔文斯莱本,zh-CN,en,401991,驱逐,铁血,
Oumi,近江,zh-CN,en,305161,战列,重樱,
Owari,尾张,zh-CN,en,305131,战列,重樱,
Oyashio,亲潮,zh-CN,en,301281,驱逐,重樱,
Ozornoy,顽皮,zh-CN,en,701131,驱逐,北方联合,
Painlevé,伴尔维,zh-CN,en,807021,正航,自由鸢尾,
Pamiat' Merkuria,水星纪念,zh-CN,en,702021,轻巡,北方联合,
Pamiat' Merkuria META,水星纪念·META,zh-CN,en,9702071,轻巡,META,META
Pamiat' Merkuria.META,水星纪念·META,zh-CN,en,9702071,轻巡,META,META
Pasadena,帕萨迪纳,zh-CN,en,102351,轻巡,白鹰,
Patricia Abelheim,帕特莉夏·阿贝尔海姆,zh-CN,en,10900031,战列,联动阵营,
Patty,派蒂,zh-CN,en,10600141,潜艇,联动阵营,
Pearl,珍珠号,zh-CN,en,9600141,风帆,飓风船团,
Penelope,佩内洛珀,zh-CN,en,202291,轻巡,皇家,
Pennsylvania,宾夕法尼亚,zh-CN,en,105031,战列,白鹰,
Pensacola,彭萨科拉,zh-CN,en,103011,重巡,白鹰,
Perseus,英仙座,zh-CN,en,206061,轻航,皇家,
Peter Strasser,彼得·史特拉塞,zh-CN,en,407031,正航,铁血,
Phoenix,菲尼克斯,zh-CN,en,102041,轻巡,白鹰,
Ping Hai,平海,zh-CN,en,502031,轻巡,东煌,
Pittsburgh,匹兹堡,zh-CN,en,103281,重巡,白鹰,
Plymouth,普利茅斯,zh-CN,en,299051,轻巡,皇家,
Pola,波拉,zh-CN,en,603031,重巡,撒丁帝国,
Poltava,波尔塔瓦,zh-CN,en,705081,战列,北方联合,
Pompeo Magno,庞培·马格诺,zh-CN,en,601071,驱逐,撒丁帝国,
Portland,波特兰,zh-CN,en,103061,重巡,白鹰,
Portsmouth Adventure,朴茨茅斯冒险号,zh-CN,en,900466,风帆,飓风船团,
Prince of Wales,威尔士亲王,zh-CN,en,205061,战列,皇家,
Princess Hime,公主,zh-CN,en,10800091,运输,联动阵营,
Princeton,普林斯顿,zh-CN,en,107231,轻航,白鹰,
Princeton META,普林斯顿·META,zh-CN,en,9706031,轻航,META,META
Princeton.META,普林斯顿·META,zh-CN,en,9706031,轻航,META,META
Prinz Adalbert,阿达尔伯特亲王,zh-CN,en,403101,重巡,铁血,
Prinz Eugen,欧根亲王,zh-CN,en,403031,重巡,铁血,
Prinz Eugen μ,欧根亲王(μ兵装),zh-CN,en,403151,重巡,铁血,μ兵装
Prinz Heinrich,海因里希亲王,zh-CN,en,403091,重巡,铁血,
Prinz Rupprecht,鲁普雷希特亲王,zh-CN,en,499071,战巡,铁血,
Prototype Bulin MKII,试作型布里MKII,zh-CN,en,100011,驱逐,通用,II型
Purple Heart,绀紫之心,zh-CN,en,10100051,轻巡,联动阵营,
Queen Anne's Revenge,安妮女王复仇号,zh-CN,en,9600121,风帆,飓风船团,
Queen Elizabeth,伊丽莎白女王,zh-CN,en,205011,战列,皇家,
Queen Elizabeth META,伊丽莎白女王·META,zh-CN,en,9705041,战列,META,META
Queen Elizabeth.META,伊丽莎白女王·META,zh-CN,en,9705041,战列,META,META
Quincy,昆西,zh-CN,en,103091,重巡,白鹰,
Radford,拉德福特,zh-CN,en,101291,驱逐,白鹰,
Raffaello,拉斐尔,zh-CN,en,605081,战列,撒丁帝国,
Raleigh,罗利,zh-CN,en,102021,轻巡,白鹰,
Ranger,突击者,zh-CN,en,107041,轻航,白鹰,
Regensburg,雷根斯堡,zh-CN,en,402101,轻巡,铁血,
Regensburg META,雷根斯堡·META,zh-CN,en,9702111,轻巡,META,META
Regensburg.META,雷根斯堡·META,zh-CN,en,9702111,轻巡,META,META
Reisalin Stout,莱莎琳·斯托特,zh-CN,en,10900011,轻巡,联动阵营,
Reno,里诺,zh-CN,en,102261,轻巡,白鹰,
Renown,声望,zh-CN,en,204011,战巡,皇家,
Renown META,声望·META,zh-CN,en,900504,战巡,META,META
Renown.META,声望·META,zh-CN,en,900504,战巡,META,META
Repulse,反击,zh-CN,en,204021,战巡,皇家,
Repulse META,反击·META,zh-CN,en,900505,战巡,META,META
Repulse.META,反击·META,zh-CN,en,900505,战巡,META,META
Revenge,复仇,zh-CN,en,205111,战列,皇家,
Richelieu,黎塞留,zh-CN,en,805011,战列,自由鸢尾,
Richmond,里士满,zh-CN,en,102111,轻巡,白鹰,
Rikka Takarada,宝多六花,zh-CN,en,10800011,轻巡,联动阵营,
Ritsuko Akizuki,秋月律子,zh-CN,en,10700051,运输,联动阵营,
RN Alberto di Giussano,阿尔贝托·迪·朱塞诺,zh-CN,en,602041,轻巡,撒丁帝国,
RN Alfredo Oriani,阿尔弗雷多·奥里亚尼,zh-CN,en,601081,驱逐,撒丁帝国,
RN Andrea Doria,安德烈亚·多利亚,zh-CN,en,605071,战列,撒丁帝国,
RN Aquila,天鹰,zh-CN,en,607011,正航,撒丁帝国,
RN Attilio Regolo,阿蒂利奥·雷戈洛,zh-CN,en,601101,驱逐,撒丁帝国,
RN Bartolomeo Colleoni,巴托洛梅奥·科莱奥尼,zh-CN,en,602031,轻巡,撒丁帝国,
RN Bolzano,博尔扎诺,zh-CN,en,603051,重巡,撒丁帝国,
RN Carabiniere,龙骑兵,zh-CN,en,601021,驱逐,撒丁帝国,
RN Conte di Cavour,加富尔伯爵,zh-CN,en,605051,战列,撒丁帝国,
RN Duca degli Abruzzi,阿布鲁齐公爵,zh-CN,en,602011,轻巡,撒丁帝国,
RN Emanuele Pessagno,埃曼努埃尔·佩萨格诺,zh-CN,en,601091,驱逐,撒丁帝国,
RN Francesco Caracciolo,弗朗西斯科·卡拉乔洛,zh-CN,en,605091,战列,撒丁帝国,
RN Giosue Carducci,焦苏埃·卡尔杜齐,zh-CN,en,601111,驱逐,撒丁帝国,
RN Giulio Cesare,朱利奥·凯撒,zh-CN,en,605061,战列,撒丁帝国,
RN Giuseppe Garibaldi,朱塞佩·加里波第,zh-CN,en,602021,轻巡,撒丁帝国,
RN Gorizia,戈里齐亚,zh-CN,en,603061,重巡,撒丁帝国,
RN Impero,帝国,zh-CN,en,607021,正航,撒丁帝国,
RN Leonardo da Vinci,莱昂纳多·达·芬奇,zh-CN,en,608021,潜艇,撒丁帝国,
RN Libeccio,西南风,zh-CN,en,601051,驱逐,撒丁帝国,
RN Littorio,利托里奥,zh-CN,en,605021,战列,撒丁帝国,
RN Maestrale,西北风,zh-CN,en,601041,驱逐,撒丁帝国,
RN Maggiore Baracca,巴拉卡少校,zh-CN,en,608031,潜艇,撒丁帝国,
RN Marco Polo,马可波罗,zh-CN,en,699011,战列,撒丁帝国,
RN Napoli,那不勒斯,zh-CN,en,699021,重巡,撒丁帝国,
RN Nicoloso da Recco,尼科洛索·达雷科,zh-CN,en,601061,驱逐,撒丁帝国,
RN Pola,波拉,zh-CN,en,603031,重巡,撒丁帝国,
RN Pompeo Magno,庞培·马格诺,zh-CN,en,601071,驱逐,撒丁帝国,
RN Raffaello,拉斐尔,zh-CN,en,605081,战列,撒丁帝国,
RN Roma,罗马,zh-CN,en,605031,战列,撒丁帝国,
RN Torricelli,托里拆利,zh-CN,en,608011,潜艇,撒丁帝国,
RN Trento,特伦托,zh-CN,en,603011,重巡,撒丁帝国,
RN Trieste,的里雅斯特,zh-CN,en,603041,重巡,撒丁帝国,
RN Ugolino Vivaldi,乌戈里诺·维瓦尔迪,zh-CN,en,601121,驱逐,撒丁帝国,
RN Vincenzo Gioberti,文琴佐·焦贝蒂,zh-CN,en,601031,驱逐,撒丁帝国,
RN Vittorio Cuniberti,维托里奥·库尼贝尔蒂,zh-CN,en,699031,驱逐,撒丁帝国,
RN Vittorio Veneto,维托里奥·维内托,zh-CN,en,605011,战列,撒丁帝国,
RN Zara,扎拉,zh-CN,en,603021,重巡,撒丁帝国,
Rodney,罗德尼,zh-CN,en,205041,战列,皇家,
Rodney META,罗德尼·META,zh-CN,en,9705051,战列,META,META
Rodney.META,罗德尼·META,zh-CN,en,9705051,战列,META,META
Rogue Kaiser Gridman,狂战帝王古立特,zh-CN,en,900808,轻巡,联动阵营,
Roma,罗马,zh-CN,en,605031,战列,撒丁帝国,
Roon,罗恩,zh-CN,en,499011,重巡,铁血,
Roon μ,罗恩(μ兵装),zh-CN,en,403081,重巡,铁血,μ兵装
Royal Fortune,皇家财富号,zh-CN,en,900405,风帆,飓风船团,
Royal James,皇家詹姆斯号,zh-CN,en,9600151,风帆,飓风船团,
Royal Oak,皇家橡树,zh-CN,en,205141,战列,皇家,
Royal.META,皇家方舟·META,zh-CN,en,900334,正航,META,META
Ryu Lion,琉·璃昂,zh-CN,en,11400021,轻巡,联动阵营,
Ryuuhou,龙凤,zh-CN,en,306071,轻航,重樱,
Ryuujou,龙骧,zh-CN,en,306061,轻航,重樱,
Saint Louis,路易九世,zh-CN,en,899011,重巡,自由鸢尾,
Sairenji Haruna,西连寺春菜,zh-CN,en,900477,战巡,联动阵营,
Sakawa,酒匂,zh-CN,en,302231,轻巡,重樱,
Salt Lake City,盐湖城,zh-CN,en,103021,重巡,白鹰,
San Diego,圣地亚哥,zh-CN,en,102081,轻巡,白鹰,
San Francisco,旧金山,zh-CN,en,103141,重巡,白鹰,
San Jacinto,圣哈辛托,zh-CN,en,107301,轻航,白鹰,
San Juan,圣胡安,zh-CN,en,102221,轻巡,白鹰,
Santa Fe,圣塔菲,zh-CN,en,102341,轻巡,白鹰,
Saratoga,萨拉托加,zh-CN,en,107031,正航,白鹰,
Scharnhorst,沙恩霍斯特,zh-CN,en,404011,战巡,铁血,
Scharnhorst META,沙恩霍斯特·META,zh-CN,en,9704021,战巡,META,META
Scharnhorst.META,沙恩霍斯特·META,zh-CN,en,9704021,战巡,META,META
Scylla,斯库拉,zh-CN,en,202331,轻巡,皇家,
Seattle,西雅图,zh-CN,en,199011,轻巡,白鹰,
Sendai,川内,zh-CN,en,302121,轻巡,重樱,
Serri Glaus,赛莉·古劳斯,zh-CN,en,10900051,正航,联动阵营,
Sevastopol,塞瓦斯托波尔,zh-CN,en,705071,战列,北方联合,
Seydlitz,塞德利茨,zh-CN,en,404031,战巡,铁血,
Shandy,香迪,zh-CN,en,10600121,重巡,联动阵营,
Shangri-La,香格里拉,zh-CN,en,107381,正航,白鹰,
Sheffield,谢菲尔德,zh-CN,en,202081,轻巡,皇家,
Sheffield META,谢菲尔德·META,zh-CN,en,9702031,轻巡,META,META
Sheffield μ,谢菲尔德(μ兵装),zh-CN,en,202251,轻巡,皇家,μ兵装
Sheffield.META,谢菲尔德·META,zh-CN,en,9702031,轻巡,META,META
Shigure,时雨,zh-CN,en,301151,驱逐,重樱,
Shimakaze,岛风,zh-CN,en,301291,驱逐,重樱,
Shimanto,四万十,zh-CN,en,399061,轻巡,重樱,
Shinano,信浓,zh-CN,en,307081,正航,重樱,
Shinano-chan,小信浓,zh-CN,en,307141,正航,重樱,
Shirakami Fubuki,白上吹雪,zh-CN,en,900801,驱逐,联动阵营,
Shiranui,不知火,zh-CN,en,301181,驱逐,重樱,
Shiratsuyu,白露,zh-CN,en,301131,驱逐,重樱,
Shirayuki,白雪,zh-CN,en,301021,驱逐,重樱,
Shizuku,雫,zh-CN,en,10600111,战列,联动阵营,
Shouhou,祥凤,zh-CN,en,306051,轻航,重樱,
Shoukaku,翔鹤,zh-CN,en,307051,正航,重樱,
Shropshire,什罗普郡,zh-CN,en,203021,重巡,皇家,
Sims,西姆斯,zh-CN,en,101241,驱逐,白鹰,
Siren Compiler,构建者,zh-CN,en,900506,正航,塞壬,
Sirius,天狼星,zh-CN,en,202201,轻巡,皇家,
Smalley,斯莫利,zh-CN,en,101421,驱逐,白鹰,
SMS Elbing,埃尔宾,zh-CN,en,402081,轻巡,铁血,
SMS Emden,埃姆登,zh-CN,en,402071,轻巡,铁血,
SMS Lützow,吕佐夫,zh-CN,en,404041,战巡,铁血,
SMS Seydlitz,塞德利茨,zh-CN,en,404031,战巡,铁血,
SMS Thüringen,图林根,zh-CN,en,405041,战列,铁血,
SMS Yorck,约克,zh-CN,en,403111,重巡,铁血,
SN Admiral Nakhimov,纳希莫夫海军上将,zh-CN,en,799021,正航,北方联合,
SN Arkhangelsk,阿尔汉格尔斯克,zh-CN,en,705061,战列,北方联合,
SN Avrora,阿芙乐尔,zh-CN,en,702011,轻巡,北方联合,
SN Bogatyr,博加特里,zh-CN,en,702101,轻巡,北方联合,
SN Chapayev,恰巴耶夫,zh-CN,en,702031,轻巡,北方联合,
SN Chkalov,契卡洛夫,zh-CN,en,799011,正航,北方联合,
SN Dmitri Donskoi,迪米特里·顿斯科伊,zh-CN,en,799031,轻巡,北方联合,
SN Gangut,甘古特,zh-CN,en,705011,战列,北方联合,
SN Gremyashchy,雷鸣,zh-CN,en,701071,驱逐,北方联合,
SN Gromky,洪亮,zh-CN,en,701081,驱逐,北方联合,
SN Grozny,威严,zh-CN,en,701021,驱逐,北方联合,
SN Kazan,喀山,zh-CN,en,705091,战列,北方联合,
SN Kiev,基辅,zh-CN,en,701101,驱逐,北方联合,
SN Kirov,基洛夫,zh-CN,en,702041,轻巡,北方联合,
SN Krasny Kavkaz,红色山脉,zh-CN,en,702091,轻巡,北方联合,
SN Kronshtadt,喀琅施塔得,zh-CN,en,718011,超巡,北方联合,
SN Kursk,库尔斯克,zh-CN,en,703021,重巡,北方联合,
SN Kuybyshev,古比雪夫,zh-CN,en,702051,轻巡,北方联合,
SN Minsk,明斯克,zh-CN,en,701031,驱逐,北方联合,
SN Moskva,莫斯科,zh-CN,en,703031,重巡,北方联合,
SN Murmansk,摩尔曼斯克,zh-CN,en,702061,轻巡,北方联合,
SN Ognevoy,火力,zh-CN,en,701111,驱逐,北方联合,
SN Oleg,奥列格,zh-CN,en,702081,轻巡,北方联合,
SN Ozornoy,顽皮,zh-CN,en,701131,驱逐,北方联合,
SN Pamiat' Merkuria,水星纪念,zh-CN,en,702021,轻巡,北方联合,
SN Poltava,波尔塔瓦,zh-CN,en,705081,战列,北方联合,
SN Sevastopol,塞瓦斯托波尔,zh-CN,en,705071,战列,北方联合,
SN Soobrazitelny,灵敏,zh-CN,en,701091,驱逐,北方联合,
SN Sovetskaya Belorussiya,苏维埃贝拉罗斯,zh-CN,en,705041,战列,北方联合,
SN Sovetskaya Rossiya,苏维埃罗西亚,zh-CN,en,705051,战列,北方联合,
SN Sovetsky Soyuz,苏维埃同盟,zh-CN,en,705021,战列,北方联合,
SN Stremitelny,神速,zh-CN,en,701061,驱逐,北方联合,
SN Svirepy,凶猛,zh-CN,en,701121,驱逐,北方联合,
SN Tallinn,塔林,zh-CN,en,703011,重巡,北方联合,
SN Tashkent,塔什干,zh-CN,en,701041,驱逐,北方联合,
SN Volga,伏尔加,zh-CN,en,707011,正航,北方联合,
SN Voroshilov,伏罗希洛夫,zh-CN,en,702071,轻巡,北方联合,
Soobrazitelny,灵敏,zh-CN,en,701091,驱逐,北方联合,
Souryuu,苍龙,zh-CN,en,307031,正航,重樱,
Souryuu META,苍龙·META,zh-CN,en,9707031,正航,META,META
South Dakota,南达科他,zh-CN,en,105141,战列,白鹰,
Southampton,南安普顿,zh-CN,en,202071,轻巡,皇家,
Sovetskaya Belorussiya,苏维埃贝拉罗斯,zh-CN,en,705041,战列,北方联合,
Sovetskaya Rossiya,苏维埃罗西亚,zh-CN,en,705051,战列,北方联合,
Sovetsky Soyuz,苏维埃同盟,zh-CN,en,705021,战列,北方联合,
Specialized Bulin Custom MKIII,特装型布里MKIII,zh-CN,en,100021,驱逐,通用,
Spence,斯彭斯,zh-CN,en,101151,驱逐,白鹰,
St. Louis,圣路易斯,zh-CN,en,102131,轻巡,白鹰,
Stanly,斯坦利,zh-CN,en,101411,驱逐,白鹰,
Stephen Potter,史蒂芬·波特,zh-CN,en,101461,驱逐,白鹰,
Strasbourg,斯特拉斯堡,zh-CN,en,900446,战巡,维希教廷,
Stremitelny,神速,zh-CN,en,701061,驱逐,北方联合,
Suffolk,萨福克,zh-CN,en,203041,重巡,皇家,
Suffren,絮弗伦,zh-CN,en,803011,重巡,自由鸢尾,
Super Gamer Kizuna AI,绊爱·SuperGamer,zh-CN,en,10400041,战列,联动阵营,
Surcouf,絮库夫,zh-CN,en,808011,潜艇,自由鸢尾,
Suruga,骏河,zh-CN,en,305141,战列,重樱,
Sussex,苏塞克斯,zh-CN,en,203091,重巡,皇家,
Suzunami,凉波,zh-CN,en,301911,驱逐,重樱,
Suzutsuki,凉月,zh-CN,en,301841,驱逐,重樱,
Suzuya,铃谷,zh-CN,en,303171,重巡,重樱,
Svirepy,凶猛,zh-CN,en,701121,驱逐,北方联合,
Swiftsure,确捷,zh-CN,en,202231,轻巡,皇家,
São Martinho,圣马丁号,zh-CN,en,900463,风帆,飓风船团,
Taekaze,妙风,zh-CN,en,301921,驱逐,重樱,
Tai Yuan,太原,zh-CN,en,501041,驱逐,东煌,
Taihou,大凤,zh-CN,en,307071,正航,重樱,
Taihou META,大凤·META,zh-CN,en,9707051,正航,META,META
Taihou μ,大凤(μ兵装),zh-CN,en,307111,正航,重樱,μ兵装
Taihou-chan,小大凤,zh-CN,en,307131,正航,重樱,
Taihō.META,大凤·META,zh-CN,en,9707051,正航,META,META
Takao,高雄,zh-CN,en,303111,重巡,重樱,
Tallinn,塔林,zh-CN,en,703011,重巡,北方联合,
Tamaki,环,zh-CN,en,10600091,战巡,联动阵营,
Tanikaze,谷风,zh-CN,en,301621,驱逐,重樱,
Tartu,塔尔图,zh-CN,en,901021,驱逐,维希教廷,
Tashkent,塔什干,zh-CN,en,701041,驱逐,北方联合,
Tashkent μ,塔什干(μ兵装),zh-CN,en,701051,驱逐,北方联合,μ兵装
Tennessee,田纳西,zh-CN,en,105071,战列,白鹰,
Terror,恐怖,zh-CN,en,213021,重炮,皇家,
Thatcher,撒切尔,zh-CN,en,101121,驱逐,白鹰,
The 2nd,第二代,zh-CN,en,10800081,航战,联动阵营,
Theseus,忒修斯,zh-CN,en,206081,轻航,皇家,
Thüringen,图林根,zh-CN,en,405041,战列,铁血,
Ticonderoga,提康德罗加,zh-CN,en,107141,正航,白鹰,
Ting An,定安,zh-CN,en,519011,运输,东煌,
Tirpitz,提尔比茨,zh-CN,en,405021,战列,铁血,
Tohka Yatogami,夜刀神十香,zh-CN,en,11500011,重巡,联动阵营,
