id,zh-CN,en-US,ja-JP,ko-KR,zh-TW,src_table
AffinityQuest.14404.1,千都世累计升级{1}次技能,Upgraded Chitose's skills {1} times,チトセのスキルを{1}回レベルアップする,치토세 스킬 {1}회 레벨업,千都世升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.14405.1,千都世保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Chitose,チトセを含む記録レベルが{2}以上の記録を{1}件保存する,치토세로 {1}개의 평점 레벨 {2} 기록 저장,千都世保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.14407.1,千都世所有技能等级提升到{1}级或以上,All Chitose's skills ≥ Lv.{1},チトセのすべてのスキルレベルを{1}以上にする,치토세의 모든 스킬 {1}레벨 이상 달성,千都世的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.14409.1,累计收集千都世的潜能数量达到{1},Collect Chitose's Potential ×{1},チトセの素質を{1}種類収集する,치토세 잠재력 수집 누적 수량 {1}개 달성,收集千都世的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.14501.1,乙叶完成{1}次星塔探索,Complete {1} Ascension with Otoha,オトハと星ノ塔を{1}回探索する,오토하와 별의 탑 탐색 {1}회 완료,乙葉完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.14502.1,完成{1}次与乙叶的邀约,Invited and hung out with Otoha {1} time,オトハと{1}回デートする,오토하와 약속 {1}회 진행,完成{1}次與乙葉的邀約,AffinityQuest.json
AffinityQuest.14503.1,乙叶进阶到{1}阶,Otoha reaches Tier {1},オトハをランク{1}にする,오토하 {1}승급 달성,乙葉進階到{1}階,AffinityQuest.json
AffinityQuest.14504.1,乙叶累计升级{1}次技能,Upgraded Otoha's skills {1} times,オトハのスキルを{1}回レベルアップする,오토하 스킬 {1}회 레벨업,乙葉升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.14505.1,乙叶保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Otoha,オトハを含む記録レベルが{2}以上の記録を{1}件保存する,오토하로 {1}개의 평점 레벨 {2} 기록 저장,乙葉保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.14507.1,乙叶所有技能等级提升到{1}级或以上,All Otoha's skills ≥Lv.{1},オトハのすべてのスキルレベルを{1}以上にする,오토하의 모든 스킬 {1}레벨 이상 달성,乙葉的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.14509.1,累计收集乙叶的潜能数量达到{1},Collect Otoha's Potential ×{1},オトハの素質を{1}種類収集する,오토하 잠재력 수집 누적 수량 {1}개 달성,收集乙葉的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.14701.1,焦糖完成{1}次星塔探索,Complete {1} Ascension with Caramel,キャラメルと星ノ塔を{1}回探索する,캐러멜과 별의 탑 탐색 {1}회 완료,焦糖完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.14702.1,完成{1}次与焦糖的邀约,Invited and hung out with Caramel {1} time,キャラメルと{1}回デートする,캐러멜과 약속 {1}회 진행,完成{1}次與焦糖的邀約,AffinityQuest.json
AffinityQuest.14703.1,焦糖进阶到{1}阶,Caramel reaches Tier {1},キャラメルをランク{1}にする,캐러멜 {1}승급 달성,焦糖進階到{1}階,AffinityQuest.json
AffinityQuest.14704.1,焦糖累计升级{1}次技能,Upgraded Caramel's skills {1} times,キャラメルのスキルを{1}回レベルアップする,캐러멜 스킬 {1}회 레벨업,焦糖升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.14705.1,焦糖保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Caramel,キャラメルを含む記録レベルが{2}以上の記録を{1}件保存する,캐러멜로 {1}개의 평점 레벨 {2} 기록 저장,焦糖保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.14707.1,焦糖所有技能等级提升到{1}级或以上,All Caramel's skills ≥ Lv.{1},キャラメルのすべてのスキルレベルを{1}以上にする,캐러멜의 모든 스킬 {1}레벨 이상 달성,焦糖的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.14709.1,累计收集焦糖的潜能数量达到{1},Collect Caramel's Potential ×{1},キャラメルの素質を{1}種類収集する,캐러멜 잠재력 수집 누적 수량 {1}개 달성,收集焦糖的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.14901.1,格芮完成{1}次星塔探索,Complete {1} Ascension with Gerie,グレイと星ノ塔を{1}回探索する,그레이와 별의 탑 탐색 {1}회 완료,格芮完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.14902.1,完成{1}次与格芮的邀约,Invite and hang out with Gerie {1} time,グレイと{1}回デートする,그레이와 약속 {1}회 진행,完成{1}次與格芮的邀約,AffinityQuest.json
AffinityQuest.14903.1,格芮进阶到{1}阶,Gerie reaches Tier {1},グレイをランク{1}にする,그레이 {1}승급 달성,格芮進階到{1}階,AffinityQuest.json
AffinityQuest.14904.1,格芮累计升级{1}次技能,Upgrade Gerie's skills {1} times,グレイのスキルを{1}回レベルアップする,그레이 스킬 {1}회 레벨업,格芮升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.14905.1,格芮保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Gerie,グレイを含む記録レベルが{2}以上の記録を{1}件保存する,그레이로 {1}개의 평점 레벨 {2} 기록 저장,格芮保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.14907.1,格芮所有技能等级提升到{1}级或以上,All Gerie's skills ≥ Lv.{1},グレイのすべてのスキルレベルを{1}以上にする,그레이의 모든 스킬 {1}레벨 이상 달성,格芮的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.14909.1,累计收集格芮的潜能数量达到{1},Collect Gerie's Potential ×{1},グレイの素質を{1}種類収集する,그레이 잠재력 수집 누적 수량 {1}개 달성,收集格芮的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.15001.1,菈露完成{1}次星塔探索,Complete {1} Ascension with Laru,ラールと星ノ塔を{1}回探索する,라루와 별의 탑 탐색 {1}회 완료,菈露完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.15002.1,完成{1}次与菈露的邀约,Invited and hung out with Laru {1} time,ラールと{1}回デートする,라루와 약속 {1}회 진행,完成{1}次與菈露的邀約,AffinityQuest.json
AffinityQuest.15003.1,菈露进阶到{1}阶,Laru reaches Tier {1},ラールをランク{1}にする,라루 {1}승급 달성,菈露進階到{1}階,AffinityQuest.json
AffinityQuest.15004.1,菈露累计升级{1}次技能,Upgraded Laru's skills {1} times,ラールのスキルを{1}回レベルアップする,라루 스킬 {1}회 레벨업,菈露升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.15005.1,菈露保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Laru,ラールを含む記録レベルが{2}以上の記録を{1}件保存する,라루로 {1}개의 평점 레벨 {2} 기록 저장,菈露保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.15007.1,菈露所有技能等级提升到{1}级或以上,All Laru's skills ≥ Lv.{1},ラールのすべてのスキルレベルを{1}以上にする,라루의 모든 스킬 {1}레벨 이상 달성,菈露的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.15009.1,累计收集菈露的潜能数量达到{1},Collect Laru's Potential ×{1},ラールの素質を{1}種類収集する,라루 잠재력 수집 누적 수량 {1}개 달성,收集菈露的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.15501.1,希娅完成{1}次星塔探索,Complete {1} Ascension with Shia,シアと星ノ塔を{1}回探索する,시아와 별의 탑 탐색 {1}회 완료,希婭完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.15502.1,完成{1}次与希娅的邀约,Invite and hang out with Shia {1} time,シアと{1}回デートする,시아와 약속 {1}회 진행,完成{1}次與希婭的邀約,AffinityQuest.json
AffinityQuest.15503.1,希娅进阶到{1}阶,Shia reaches Tier {1},シアをランク{1}にする,시아 {1}승급 달성,希婭進階到{1}階,AffinityQuest.json
AffinityQuest.15504.1,希娅累计升级{1}次技能,Upgrade Shia's skills {1} times,シアのスキルを{1}回レベルアップする,시아 스킬 {1}회 레벨업,希婭升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.15505.1,希娅保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Shia,シアを含む記録レベルが{2}以上の記録を{1}件保存する,시아로 {1}개의 평점 레벨 {2} 기록 저장,希婭保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.15507.1,希娅所有技能等级提升到{1}级或以上,All Shia's skills ≥ Lv.{1},シアのすべてのスキルレベルを{1}以上にする,시아의 모든 스킬 {1}레벨 이상 달성,希婭的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.15509.1,累计收集希娅的潜能数量达到{1},Collect Shia's Potential ×{1},シアの素質を{1}種類収集する,시아 잠재력 수집 누적 수량 {1}개 달성,收集希婭的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.15601.1,小禾完成{1}次星塔探索,Complete {1} Ascension with Nazuna,ナズナと星ノ塔を{1}回探索する,나즈나와 별의 탑 탐색 {1}회 완료,小禾完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.15602.1,完成{1}次与小禾的邀约,Invite and hang out with Nazuna {1} time,ナズナと{1}回デートする,나즈나와 약속 {1}회 진행,完成{1}次與小禾的邀約,AffinityQuest.json
AffinityQuest.15603.1,小禾进阶到{1}阶,Nazuna reaches Tier {1},ナズナをランク{1}にする,나즈나 {1}승급 달성,小禾進階到{1}階,AffinityQuest.json
AffinityQuest.15604.1,小禾累计升级{1}次技能,Upgrade Nazuna's skills {1} times,ナズナのスキルを{1}回レベルアップする,나즈나 스킬 {1}회 레벨업,小禾升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.15605.1,小禾保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Nazuna,ナズナを含む記録レベルが{2}以上の記録を{1}件保存する,나즈나로 {1}개의 평점 레벨 {2} 기록 저장,小禾保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.15607.1,小禾所有技能等级提升到{1}级或以上,All Nazuna's skills ≥ Lv.{1},ナズナのすべてのスキルレベルを{1}以上にする,나즈나의 모든 스킬 {1}레벨 이상 달성,小禾的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.15609.1,累计收集小禾的潜能数量达到{1},Collect Nazuna's Potential ×{1},ナズナの素質を{1}種類収集する,나즈나 잠재력 수집 누적 수량 {1}개 달성,收集小禾的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.15701.1,花铃完成{1}次星塔探索,Complete {1} Ascension with Karin,カリンと星ノ塔を{1}回探索する,카린과 별의 탑 탐색 {1}회 완료,花鈴完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.15702.1,完成{1}次与花铃的邀约,Invited and hung out with Karin {1} times,カリンと{1}回デートする,카린과 약속 {1}회 진행,完成{1}次與花鈴的邀約,AffinityQuest.json
AffinityQuest.15703.1,花铃进阶到{1}阶,Karin reaches Tier {1},カリンをランク{1}にする,카린 {1}승급 달성,花鈴進階到{1}階,AffinityQuest.json
AffinityQuest.15704.1,花铃累计升级{1}次技能,Upgraded Karin's skills {1} times,カリンのスキルを{1}回レベルアップする,카린 스킬 {1}회 레벨업,花鈴升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.15705.1,花铃保存{1}份评分等级达到{2}级的纪录,Save {1} Records with a Rating of {2} with Karin,カリンを含む記録レベルが{2}以上の記録を{1}件保存する,카린으로 {1}개의 평점 레벨 {2} 기록 저장,花鈴保存{1}份評分等級達到{2}級的紀錄,AffinityQuest.json
AffinityQuest.15707.1,花铃所有技能等级提升到{1}级或以上,All Karin's skills ≥{1},カリンのすべてのスキルレベルを{1}以上にする,카린의 모든 스킬 {1}레벨 이상 달성,花鈴的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.15709.1,累计收集花铃的潜能数量达到{1},Collect Karin's Potential ×{1},カリンの素質を{1}種類収集する,카린 잠재력 수집 누적 수량 {1}개 달성,收集花鈴的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.15801.1,菈露（圣夜）完成{1}次星塔探索,Complete {1} Ascension with Snowish Laru,ラール（聖夜）と星ノ塔を{1}回探索する,라루(이브)와 별의 탑 탐색 {1}회 완료,聖夜菈露完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.15802.1,完成{1}次与菈露（圣夜）的邀约,Invite and hang out with Snowish Laru {1} times,ラール（聖夜）と{1}回デートする,라루(이브)와 약속 {1}회 진행,完成{1}次與聖夜菈露的邀約,AffinityQuest.json
AffinityQuest.15803.1,菈露（圣夜）进阶到{1}阶,Snowish Laru reaches Tier {1},ラール（聖夜）をランク{1}にする,라루(이브) {1}승급 달성,聖夜菈露進階到{1}階,AffinityQuest.json
AffinityQuest.15804.1,菈露（圣夜）累计升级{1}次技能,Upgrade Snowish Laru's skills {1} times,ラール（聖夜）のスキルを{1}回レベルアップする,라루(이브) 스킬 {1}회 레벨업,聖夜菈露升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.15807.1,菈露（圣夜）所有技能等级提升到{1}级或以上,All Snowish Laru's skills ≥ Lv.{1},ラール（聖夜）のすべてのスキルレベルを{1}以上にする,라루(이브)의 모든 스킬 {1}레벨 이상 달성,聖夜菈露的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.15809.1,累计收集菈露（圣夜）的潜能数量达到{1},Collect Snowish Laru's Potential ×{1},ラール（聖夜）の素質を{1}種類収集する,라루(이브) 잠재력 수집 누적 수량 {1}개 달성,收集聖夜菈露的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.15901.1,科洛妮丝（新春）完成{1}次星塔探索,Complete {1} Ascension with Springseek Coronis,クルニス（華服）と星ノ塔を{1}回探索する,크루니스(새해)와 별의 탑 탐색 {1}회 완료,緋春柯洛妮絲完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.15902.1,完成{1}次与科洛妮丝（新春）的邀约,Invited and hung out with Springseek Coronis {1} times,クルニス（華服）と{1}回デートする,크루니스(새해)와 약속 {1}회 진행,完成{1}次與緋春柯洛妮絲的邀約,AffinityQuest.json
AffinityQuest.15903.1,科洛妮丝（新春）进阶到{1}阶,Springseek Coronis reaches Tier {1},クルニス（華服）をランク{1}にする,크루니스(새해) {1}승급 달성,緋春柯洛妮絲進階到{1}階,AffinityQuest.json
AffinityQuest.15904.1,科洛妮丝（新春）累计升级{1}次技能,Upgraded Springseek Coronis's skills {1} times,クルニス（華服）のスキルを{1}回レベルアップする,크루니스(새해) 스킬 {1}회 레벨업,緋春柯洛妮絲累計升級{1}次技能,AffinityQuest.json
AffinityQuest.15907.1,科洛妮丝（新春）所有技能等级提升到{1}级或以上,All Springseek Coronis's skills ≥ Lv. {1},クルニス（華服）のすべてのスキルレベルを{1}以上にする,크루니스(새해)의 모든 스킬 {1}레벨 이상 달성,緋春柯洛妮絲所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.15909.1,累计收集科洛妮丝（新春）的潜能数量达到{1},Collect Springseek Coronis's Potential ×{1},クルニス（華服）の素質を{1}種類収集する,크루니스(새해) 잠재력 수집 누적 수량 {1}개 달성,收集緋春柯洛妮絲的潛能數量累計達到{1},AffinityQuest.json
AffinityQuest.16001.1,薇洛（盛夏）完成{1}次星塔探索,Complete {1} Ascension with Suntide Willow,ウィロー（水着）と星ノ塔を{1}回探索する,윌로(여름)와 별의 탑 탐색 {1}회 완료,沐夏薇洛完成{1}次星塔探索,AffinityQuest.json
AffinityQuest.16002.1,完成{1}次与薇洛（盛夏）的邀约,Invited and hung out with Suntide Willow {1} time,ウィロー（水着）と{1}回デートする,윌로(여름)와 약속 {1}회 진행,完成{1}次與沐夏薇洛的邀約,AffinityQuest.json
AffinityQuest.16003.1,薇洛（盛夏）进阶到{1}阶,Suntide Willow reaches Tier {1},ウィロー（水着）をランク{1}にする,윌로(여름) {1}승급 달성,沐夏薇洛進階到{1}階,AffinityQuest.json
AffinityQuest.16004.1,薇洛（盛夏）累计升级{1}次技能,Upgraded Suntide Willow's skills {1} times,ウィロー（水着）のスキルを{1}回レベルアップする,윌로(여름) 스킬 {1}회 레벨업,沐夏薇洛升級技能累計達{1}次,AffinityQuest.json
AffinityQuest.16007.1,薇洛（盛夏）所有技能等级提升到{1}级或以上,All Suntide Willow's skills ≥ Lv.{1},ウィロー（水着）のすべてのスキルレベルを{1}以上にする,윌로(여름)의 모든 스킬 {1}레벨 이상 달성,沐夏薇洛的所有技能等級提升到{1}級或以上,AffinityQuest.json
AffinityQuest.16009.1,累计收集薇洛（盛夏）的潜能数量达到{1},Collect Suntide Willow's Potential ×{1},ウィロー（水着）の素質を{1}種類収集する,윌로(여름) 잠재력 수집 누적 수량 {1}개 달성,收集沐夏薇洛的潛能數量累計達到{1},AffinityQuest.json
Agent.100101.2,街区清理,Tidying Up,街の清掃,거리 청소,街區清理,Agent.json
Agent.100102.2,静化环境,Cleaning Up the Neighborhood,街のパトロール,환경 정화,靜化環境,Agent.json
Agent.100103.2,寻宠启事,Pet: MISSING,ペット探し,애완동물 찾기,尋寵啟事,Agent.json
Agent.100201.2,专业观众,Professional Spectators,スタッフ募集中,프로 관객,專業觀眾,Agent.json
Agent.100202.2,战斗实训,Combat Skills,実戦訓練,실전 훈련,戰鬥實習,Agent.json
Agent.100203.2,文库整理,Books Organization,本の整理,문서 정리,文庫整理,Agent.json
Agent.100301.2,视觉盛宴,Visual Spectacle,個展の設営,비주얼 쇼크,視覺盛宴,Agent.json
Agent.100302.2,追寻音符,Chasing Notes,奪還依頼,소리 추적,追尋音符,Agent.json
Agent.100303.2,绝对音感,Perfect Pitch,求む！絶対音感,절대음감,絕對音感,Agent.json
Agent.200101.2,去练舞室打,A Fight Inside the Studio,スタジオでケンカ,연습실에서의 싸움,去練舞室打,Agent.json
Agent.200102.2,礼帽收藏,Top Hat Collection,礼帽コレクション,모자 수집,禮帽收藏,Agent.json
Agent.200103.2,谱面笔记,Noting the Patterns,譜面ノート,악보 노트,譜面筆記,Agent.json
Agent.200201.2,魁梧身材,Get Buff,ボディメイク,우람한 체격,魁梧身材,Agent.json
Agent.200202.2,男爵窖藏,The Count's Reserve,男爵のとっておき,남작의 와인셀러,男爵窖藏,Agent.json
Agent.200203.2,热腾大选,The Cursipots' Election,ツボツボ総選挙,보일링 선거,熱騰大選,Agent.json
Agent.200301.2,两眼昏黑,Dark Shades,レビュー求む,캄캄한 시야,兩眼昏黑,Agent.json
Agent.200302.2,崭新方案,The Newest Version,最新プラン,새로운 방안,嶄新方案,Agent.json
Agent.200303.2,彻夜狂欢,Party All Night,オールナイトパーティー,밤샘 파티,徹夜狂歡,Agent.json
Agent.300101.2,节奏训练,Rhythm Training,リズムトレーニング,리듬 훈련,節奏訓練,Agent.json
Agent.300102.2,音游达人,Rhythm Game Expert,音ゲーの達人,음악 게임의 달인,音遊達人,Agent.json
Agent.300103.2,魔音绕梁,Lingering Melody,魔音の余韻,마법의 소리,魔音繞樑,Agent.json
Agent.300201.2,精准训练,Accuracy Training,集中特訓,조준 훈련,精準訓練,Agent.json
Agent.300202.2,弹幕达人,Danmaku Game Expert,弾幕の達人,탄막의 달인,彈雨達人,Agent.json
Agent.300203.2,妖蜂传说,The Demon Bee Legend,ミステリアスビー伝説,몬스터 비의 전설,妖蜂傳說,Agent.json
Agent.300301.2,技巧训练,Technique Training,テクニカルトレーニング,기술 훈련,技巧訓練,Agent.json
Agent.300302.2,格斗达人,Fighting Game Expert,格ゲーの達人,격투의 달인,格鬥達人,Agent.json
Agent.300303.2,鬼神再临,The Phantom,鬼神の再臨,귀신의 재림,鬼神再臨,Agent.json
Agent.400101.2,初战舞王,The First Battle,ダンスキングの初戦,댄싱킹의 첫 번째 도전,初戰舞王,Agent.json
Agent.400102.2,再战舞王,The Rematch,ダンスキングの再戦,댄싱킹의 두 번째 도전,再戰舞王,Agent.json
Agent.400103.2,怎么还来,You Again?,ダンスキングのリベンジ,또 만났네요,怎麼還來,Agent.json
Agent.400201.2,恶有恶报,Justice Must Be Done,因果応報,악에는 악으로,惡有惡報,Agent.json
Agent.400202.2,碎碎平安,Oops I Did It Again,災い転じて福となす,액땜,碎碎平安,Agent.json
Agent.400203.2,狂热追随,True Fanaticism,熱狂的信奉者,열광적인 추종,狂熱追隨,Agent.json
Agent.400301.2,更换灯泡,Changing a Lightbulb,電球交換,전구 교체,更換燈泡,Agent.json
Agent.400302.2,祖传神灯,The Heirloom Lamp,先祖代々のランプ,대대로 전해지는 신비의 등,祖傳神燈,Agent.json
Agent.400303.2,早睡早起,Early to Bed,早寝早起き,일찍 자고 일찍 일어나기,早睡早起,Agent.json
AgentTab.1.1,紧急委托,An Urgent,緊急依頼,긴급 의뢰,緊急委託,AgentTab.json
AgentTab.2.1,社区帮手,Community Service,掲示板,동네 도우미,社區幫手,AgentTab.json
AgentTab.3.1,谜境探索,Mystic Quest,世界探訪,미로 탐색,迷境探索,AgentTab.json
AgentTab.4.1,星骸追踪,Stellaroid Tracing,星骸討伐,성해 추적,星骸追蹤,AgentTab.json
AgentTab.5.1,卡带回收,Cartridge Recycling,技術指導,카트리지 회수,卡帶回收,AgentTab.json
AssistQuest.100101.1,完成任意1关「新手教学」,Complete any Tutorials stage,チュートリアルの任意のステージを1つクリアする,「튜토리얼」 1개 스테이지 완료,完成任意1關「新手教學」,AssistQuest.json
AssistQuest.100102.1,将「尘沙」提升到10级,Upgrade Noya to Lv. 10,セイナをLv.10にする,「세이나」 10레벨까지 레벨업,將「塵沙」提升到10級,AssistQuest.json
AssistQuest.100103.1,获得辅助旅人「杏子」（领取邮件即可获得）,Claim mail to obtain Support Trekker: Ann,アンズを獲得する （入手先：メールより受領）,서포터 여행가 「안즈」 획득(우편 수령 즉시 획득),獲得輔助旅人「杏子」（領取郵件即可獲得）,AssistQuest.json
AssistQuest.100104.1,将「杏子」提升到10级,Upgrade Ann to Lv. 10,アンズをLv.10にする,「안즈」 10레벨까지 레벨업,將「杏子」提升到10級,AssistQuest.json
AssistQuest.100105.1,将任意风系秘纹提升到10级,Upgrade any Ventus Runic Disc to Lv. 10,任意の風属性のロスレコを1枚Lv10にする,바람 속성 레코드 10레벨까지 레벨업,將任意風系祕紋提升到10級,AssistQuest.json
AssistQuest.100201.1,完成任意2关「新手教学」,Complete any 2 Tutorials stages,チュートリアルの任意のステージを2つクリアする,「튜토리얼」 2개 스테이지 완료,完成任意2關「新手教學」,AssistQuest.json
AssistQuest.100202.1,将「尘沙」提升到1阶,Upgrade Noya to Tier 1,セイナをランク1にする,「세이나」를 1승급까지 돌파,將「塵沙」提升到1階,AssistQuest.json
AssistQuest.100203.1,将「杏子」提升到1阶,Upgrade Ann to Tier 1,アンズをランク1にする,「안즈」를 1승급까지 돌파,將「杏子」提升到1階,AssistQuest.json
AssistQuest.100204.1,将任意风系秘纹提升到1阶,Upgrade any Ventus Runic Disc to Tier 1,任意の風属性のロスレコを1枚ランク1にする,바람 속성 레코드 1승급까지 돌파,將任意風系祕紋提升到1階,AssistQuest.json
AssistQuest.100206.1,将「尘沙」提升到20级,Upgrade Noya to Lv. 20,セイナをLv.20にする,「세이나」 20레벨까지 레벨업,將「塵沙」提升到20級,AssistQuest.json
AssistQuest.100207.1,将「杏子」提升到20级,Upgrade Ann to Lv. 20,アンズをLv.20にする,「안즈」 20레벨까지 레벨업,將「杏子」提升到20級,AssistQuest.json
AssistQuest.100208.1,将「卡娜丝」提升到20级,Upgrade Canace to Lv. 20,カナーチェをLv.20にする,「카나체」 20레벨까지 레벨업,將「卡娜絲」提升到20級,AssistQuest.json
AssistQuest.100302.1,完成任意4关「新手教学」,Complete any 4 Tutorials stages,チュートリアルの任意のステージを4つクリアする,「튜토리얼」 4개 스테이지 완료,完成任意4關「新手教學」,AssistQuest.json
AssistQuest.100303.1,将任意3个风系秘纹提升到20级,Upgrade any 3 Ventus Runic Discs to Lv. 20,任意の風属性のロスレコを3枚Lv.20にする,바람 속성 레코드 3개 20레벨까지 레벨업,將任意3個風系祕紋提升到20級,AssistQuest.json
AssistQuest.100304.1,将「尘沙」提升到2阶,Upgrade Noya to Tier 2,セイナをランク2にする,「세이나」를 2승급까지 돌파,將「塵沙」提升到2階,AssistQuest.json
AssistQuest.100305.1,将「杏子」提升到2阶,Upgrade Ann to Tier 2,アンズをランク2にする,「안즈」를 2승급까지 돌파,將「杏子」提升到2階,AssistQuest.json
AssistQuest.100306.1,将「卡娜丝」提升到2阶,Upgrade Canace to Tier 2,カナーチェをランク2にする,「카나체」를 2승급까지 돌파,將「卡娜絲」提升到2階,AssistQuest.json
AssistQuest.100307.1,将任意3个风系秘纹提升到30级,Upgrade any 3 Ventus Runic Discs to Lv. 30,任意の風属性のロスレコを3枚Lv.30にする,바람 속성 레코드 3개 30레벨까지 레벨업,將任意3張風系祕紋提升到30級,AssistQuest.json
AssistQuest.100308.1,将任意3个风系旅人提升到30级,Upgrade any 3 Ventus Trekkers to Lv. 30,任意の風属性の巡遊者を3人Lv.30にする,바람 속성 여행가 3명 30레벨까지 레벨업,將任意3個風系旅人提升到30級,AssistQuest.json
AssistQuest.100309.1,将「尘沙」主控技能提升到2级,Upgrade Noya's Main Skill to Lv. 2,セイナの主力スキルをLv.2にする,「세이나」 메인 스킬 2레벨까지 레벨업,將「塵沙」主控技能提升到2級,AssistQuest.json
AssistQuest.100310.1,将「杏子」援护技能提升到2级,Upgrade Ann's Support Skill to Lv. 2,アンズの支援スキルをLv.2にする,「안즈」 지원 스킬 2레벨까지 레벨업,將「杏子」援護技能提升到2級,AssistQuest.json
AssistQuest.100401.1,完成任意6关「新手教学」,Complete any 6 Tutorials stages,チュートリアルの任意のステージを6つクリアする,「튜토리얼」 6개 스테이지 완료,完成任意6關「新手教學」,AssistQuest.json
AssistQuest.100402.1,将「尘沙」提升到3阶,Upgrade Noya to Tier 3,セイナをランク3にする,「세이나」를 3승급까지 돌파,將「塵沙」提升到3階,AssistQuest.json
AssistQuest.100403.1,将「杏子」提升到3阶,Upgrade Ann to Tier 3,アンズをランク3にする,「안즈」를 3승급까지 돌파,將「杏子」提升到3階,AssistQuest.json
AssistQuest.100404.1,将「卡娜丝」提升到3阶,Upgrade Canace to Tier 3,カナーチェをランク3にする,「카나체」를 3승급까지 돌파,將「卡娜絲」提升到3階,AssistQuest.json
AssistQuest.100405.1,将任意3张风系秘纹提升到40级,Upgrade any 3 Ventus Runic Discs to Lv. 40,任意の風属性のロスレコを3枚Lv.40にする,바람 속성 레코드 3개 40레벨까지 레벨업,將任意3張風系祕紋提升到40級,AssistQuest.json
AssistQuest.100406.1,将任意3个风系旅人提升到40级,Upgrade any 3 Ventus Trekkers to Lv. 40,任意の風属性の巡遊者を3人Lv.40にする,바람 속성 여행가 3명 40레벨까지 레벨업,將任意3個風系旅人提升到40級,AssistQuest.json
AssistQuest.100407.1,将「尘沙」主控技能提升到3级,Upgrade Noya's Main Skill to Lv. 3,セイナの主力スキルをLv.3にする,「세이나」 메인 스킬 3레벨까지 레벨업,將「塵沙」主控技能提升到3級,AssistQuest.json
AssistQuest.100408.1,将「杏子」援护技能提升到3级,Upgrade Ann's Support Skill to Lv. 3,アンズの支援スキルをLv.3にする,「안즈」 지원 스킬 3레벨까지 레벨업,將「杏子」援護技能提升到3級,AssistQuest.json
AssistQuest.100501.1,完成8关「新手教学」,Complete 8 Tutorials stages,チュートリアルの任意のステージを8つクリアする,「튜토리얼」 8개 스테이지 완료,完成8關「新手教學」,AssistQuest.json
