source,target,tgt_lng,src_lng,ship_id,ship_type_zh,ship_type_en,nation_zh,nation_en,variant,zh_CN_form,zh_CN_standard,zh_CN_harmonised,same_source_alternatives
Le Malin,ル・マラン,ja-JP,en-US,901111,驱逐,Destroyer,维希教廷,Vichya Dominion,,,恶毒,,
Le Malin μ,ル・マラン(μ兵装),ja-JP,en-US,901121,驱逐,Destroyer,维希教廷,Vichya Dominion,μ兵装,,恶毒(μ兵装),,
Le Mars,ル・マルス,ja-JP,en-US,901011,驱逐,Destroyer,维希教廷,Vichya Dominion,,,勒马尔,,
Le Terrible,ル・テリブル,ja-JP,en-US,801071,驱逐,Destroyer,自由鸢尾,Iris Libre,,,可怖,,
Le Triomphant,ル・トリオンファン,ja-JP,en-US,801011,驱逐,Destroyer,自由鸢尾,Iris Libre,,,凯旋,,
Le Téméraire,ル・テメレール,ja-JP,en-US,801031,驱逐,Destroyer,自由鸢尾,Iris Libre,,,鲁莽,,ル・テメレール [自由鸢尾 驱逐] | 鲁莽-王国军二级魔法师 [通用 驱逐]
Le Téméraire,鲁莽-王国军二级魔法师,ja-JP,en-US,900417,驱逐,Destroyer,通用,Universal,,,鲁莽-王国军二级魔法师,,ル・テメレール [自由鸢尾 驱逐] | 鲁莽-王国军二级魔法师 [通用 驱逐]
Le Téméraire μ,ル・テメレール(μ兵装),ja-JP,en-US,801091,驱逐,Destroyer,自由鸢尾,Iris Libre,μ兵装,,鲁莽(μ兵装),,
Leander,リアンダー,ja-JP,en-US,202011,轻巡,Light Cruiser,皇家,Royal Navy,,,利安得,,
Leipzig,ライプツィヒ,ja-JP,en-US,402041,轻巡,Light Cruiser,铁血,Iron Blood,,,莱比锡,莉普莎,
Lena,リトル・ヘレナ,ja-JP,en-US,102191,轻巡,Light Cruiser,白鹰,Eagle Union,,,小海伦娜,,
Lenja,蕾妮雅,ja-JP,en-US,900516,驱逐,Destroyer,联动阵营,Collab,,,蕾妮雅,,
Leonardo da Vinci,レオナルド・ダ・ヴィンチ,ja-JP,en-US,608021,潜艇,Submarine,撒丁帝国,Sardegna Empire,,,莱昂纳多·达·芬奇,,
Lexington,レキシントン,ja-JP,en-US,107021,正航,Aircraft Carrier,白鹰,Eagle Union,,,列克星敦,,
Lexington II,レキシントンⅡ,ja-JP,en-US,107161,正航,Aircraft Carrier,白鹰,Eagle Union,II型,,列克星敦II,,
Li'l Sandy,リトル・サンディエゴ,ja-JP,en-US,102211,轻巡,Light Cruiser,白鹰,Eagle Union,,,小圣地亚哥,小圣戴安娜,
Libeccio,リベッチオ,ja-JP,en-US,601051,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,西南风,,
Lila Decyrus,リラ・ディザイアス,ja-JP,en-US,10900041,重巡,Heavy Cruiser,联动阵营,Collab,,,莉拉·德西亚斯,,
Lion,ライオン,ja-JP,en-US,205161,战列,Battleship,皇家,Royal Navy,,,狮,,
Little Anchorage,リトル・アンカレッジ,ja-JP,en-US,103291,重巡,Heavy Cruiser,白鹰,Eagle Union,,,小安克雷奇,,
Little Bel,ベルちゃん,ja-JP,en-US,202181,轻巡,Light Cruiser,皇家,Royal Navy,,,小贝法,,
Little Cheshire,リトル・チェシャー,ja-JP,en-US,203101,重巡,Heavy Cruiser,皇家,Royal Navy,,,小柴郡,,
Little Enterprise,リトル・エンタープライズ,ja-JP,en-US,107991,正航,Aircraft Carrier,白鹰,Eagle Union,,,小企业,,
Little Formidable,リトル・フォーミダブル,ja-JP,en-US,207131,正航,Aircraft Carrier,皇家,Royal Navy,,,小可畏,,
Little Friedrich,フリードリヒちゃん,ja-JP,en-US,405061,战列,Battleship,铁血,Iron Blood,,,小腓特烈,小腓德雷卡,
Little Illustrious,リトル・イラストリアス,ja-JP,en-US,207091,正航,Aircraft Carrier,皇家,Royal Navy,,,小光辉,,
Little Prinz Eugen,プリンツ・オイゲンちゃん,ja-JP,en-US,403121,重巡,Heavy Cruiser,铁血,Iron Blood,,,小欧根,小萨沃伊,
Little Renown,リトル・レナウン,ja-JP,en-US,204041,战巡,Battlecruiser,皇家,Royal Navy,,,小声望,,
Little Spee,シュペーちゃん,ja-JP,en-US,403131,重巡,Heavy Cruiser,铁血,Iron Blood,,,小斯佩,小休贝塔,
Little Ägir,エーギルちゃん,ja-JP,en-US,403161,超巡,Large Cruiser,铁血,Iron Blood,,,小埃吉尔,小埃格妮丝,
Littorio,リットリオ,ja-JP,en-US,605021,战列,Battleship,撒丁帝国,Sardegna Empire,,,利托里奥,,
Liverpool,リヴァプール,ja-JP,en-US,202341,轻巡,Light Cruiser,皇家,Royal Navy,,,利物浦,,リヴァプール [皇家 轻巡] | 利物浦-神官 [通用 正航]
Liverpool,利物浦-神官,ja-JP,en-US,900414,正航,Aircraft Carrier,通用,Universal,,,利物浦-神官,,リヴァプール [皇家 轻巡] | 利物浦-神官 [通用 正航]
London,ロンドン,ja-JP,en-US,203011,重巡,Heavy Cruiser,皇家,Royal Navy,,,伦敦,,
Long Island,ロング・アイランド,ja-JP,en-US,106011,轻航,Light Carrier,白鹰,Eagle Union,,,长岛,,
Louisville,ルイビル,ja-JP,en-US,103271,重巡,Heavy Cruiser,白鹰,Eagle Union,,,路易斯维尔,,
Luna,ルナ,ja-JP,en-US,10600081,轻航,Light Carrier,联动阵营,Collab,,,露娜,,
Lung Wu,龍武,ja-JP,en-US,501051,驱逐,Destroyer,东煌,Dragon Empery,,,龙武,,
Lyme,ライム,ja-JP,en-US,9600131,风帆,Sailing Frigate,飓风船团,Tempesta,,,莱姆号,,
Lyon,リヨン,ja-JP,en-US,805021,战列,Battleship,自由鸢尾,Iris Libre,,,里昂,,
Lützow,リュッツォウ,ja-JP,en-US,404041,战巡,Battlecruiser,铁血,Iron Blood,,,吕佐夫,露西,
Maestrale,マエストラーレ,ja-JP,en-US,601041,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,西北风,,
Magdeburg,マクデブルク,ja-JP,en-US,402061,轻巡,Light Cruiser,铁血,Iron Blood,,,马格德堡,马格达莱娜,
Maggiore Baracca,マッジョーレ・バラッカ,ja-JP,en-US,608031,潜艇,Submarine,撒丁帝国,Sardegna Empire,,,巴拉卡少校,,
Maillé Brézé,マイレ・ブレゼ,ja-JP,en-US,801081,驱逐,Destroyer,自由鸢尾,Iris Libre,,,马耶·布雷泽,,
Mainz,マインツ,ja-JP,en-US,499031,轻巡,Light Cruiser,铁血,Iron Blood,,,美因茨,米兹,
Makinami,巻波,ja-JP,en-US,301801,驱逐,Destroyer,重樱,Sakura Empire,,,卷波,棬,
Mami Futami,双海真美,ja-JP,en-US,10700071,潜艇,Submarine,联动阵营,Collab,,,双海真美,,
Manchester,マンチェスター,ja-JP,en-US,202091,轻巡,Light Cruiser,皇家,Royal Navy,,,曼彻斯特,,
Marblehead,マーブルヘッド,ja-JP,en-US,102271,轻巡,Light Cruiser,白鹰,Eagle Union,,,马布尔黑德,,
Marco Polo,マルコ・ポーロ,ja-JP,en-US,699011,战列,Battleship,撒丁帝国,Sardegna Empire,,,马可波罗,,マルコ・ポーロ [撒丁帝国 战列] | 马可波罗（王座 前排） [撒丁帝国 超巡] | 马可波罗（圣座 前排） [撒丁帝国 超巡]
Marco Polo,马可波罗（王座 前排）,ja-JP,en-US,900485,超巡,Large Cruiser,撒丁帝国,Sardegna Empire,,,马可波罗（王座 前排）,,マルコ・ポーロ [撒丁帝国 战列] | 马可波罗（王座 前排） [撒丁帝国 超巡] | 马可波罗（圣座 前排） [撒丁帝国 超巡]
Marco Polo,马可波罗（圣座 前排）,ja-JP,en-US,900536,超巡,Large Cruiser,撒丁帝国,Sardegna Empire,,,马可波罗（圣座 前排）,,マルコ・ポーロ [撒丁帝国 战列] | 马可波罗（王座 前排） [撒丁帝国 超巡] | 马可波罗（圣座 前排） [撒丁帝国 超巡]
Marie Rose,マリー・ローズ,ja-JP,en-US,10600011,驱逐,Destroyer,联动阵营,Collab,,,玛莉萝丝,,
Marseillaise,マルセイエーズ,ja-JP,en-US,902021,轻巡,Light Cruiser,维希教廷,Vichya Dominion,,,马赛曲,,
Mary Celeste,メアリー・セレスト,ja-JP,en-US,900462,风帆,Sailing Frigate,飓风船团,Tempesta,,,玛丽·西莱斯特号,,
Maryland,メリーランド,ja-JP,en-US,105101,战列,Battleship,白鹰,Eagle Union,,,马里兰,,
Massachusetts,マサチューセッツ,ja-JP,en-US,105191,战列,Battleship,白鹰,Eagle Union,,,马萨诸塞,,
Masséna,マッセナ,ja-JP,en-US,804011,战巡,Battlecruiser,自由鸢尾,Iris Libre,,,马塞纳,,
Matchless,マッチレス,ja-JP,en-US,201261,驱逐,Destroyer,皇家,Royal Navy,,,无敌,,
Matsukaze,松風,ja-JP,en-US,301311,驱逐,Destroyer,重樱,Sakura Empire,,,松风,棡,
Maury,モーリー,ja-JP,en-US,101081,驱逐,Destroyer,白鹰,Eagle Union,,,莫里,,
Maya,摩耶,ja-JP,en-US,303131,重巡,Heavy Cruiser,重樱,Sakura Empire,,,摩耶,犮,
McCall,マッコール,ja-JP,en-US,101071,驱逐,Destroyer,白鹰,Eagle Union,,,麦考尔,,
Mecklenburg,メークレンブルク,ja-JP,en-US,499101,战列,Battleship,铁血,Iron Blood,,,梅克伦堡,梅克琳达,
Memphis,メンフィス,ja-JP,en-US,102161,轻巡,Light Cruiser,白鹰,Eagle Union,,,孟菲斯,,
Memphis META,メンフィス(META),ja-JP,en-US,900390,轻巡,Light Cruiser,META,META,META,,孟菲斯·META,,
Memphis.META,メンフィス(META),ja-JP,en-US,900390,轻巡,Light Cruiser,META,META,META,,孟菲斯·META,,
Michishio,満潮,ja-JP,en-US,301651,驱逐,Destroyer,重樱,Sakura Empire,,,满潮,樠,
Mikasa,三笠,ja-JP,en-US,305111,战列,Battleship,重樱,Sakura Empire,,,三笠,鲐,
Mikazuki,三日月,ja-JP,en-US,301411,驱逐,Destroyer,重樱,Sakura Empire,,,三日月,檧,
Mikuma,三隈,ja-JP,en-US,302111,轻巡,Light Cruiser,重樱,Sakura Empire,,,三隈,狻,
Miller,ミラー,ja-JP,en-US,101531,驱逐,Destroyer,白鹰,Eagle Union,,,米勒,,
Minase,水無瀬,ja-JP,en-US,302271,轻巡,Light Cruiser,重樱,Sakura Empire,,,水无濑,鼯,
Minato Aqua,湊あくあ,ja-JP,en-US,900807,潜艇,Submarine,联动阵营,Collab,,,湊阿库娅,,
Minazuki,水無月,ja-JP,en-US,301371,驱逐,Destroyer,重樱,Sakura Empire,,,水无月,杌,
Minneapolis,ミネアポリス,ja-JP,en-US,103131,重巡,Heavy Cruiser,白鹰,Eagle Union,,,明尼阿波利斯,,
Minsk,ミンスク,ja-JP,en-US,701031,驱逐,Destroyer,北方联合,Northern Parliament,,,明斯克,,
Misaki,みさき,ja-JP,en-US,10600041,轻巡,Light Cruiser,联动阵营,Collab,,,海咲,,
Miyuki,深雪,ja-JP,en-US,301041,驱逐,Destroyer,重樱,Sakura Empire,,,深雪,梧,
MNF Algérie,阿尔及利亚-王国军方旗骑士,ja-JP,en-US,900419,重巡,Heavy Cruiser,通用,Universal,,,阿尔及利亚-王国军方旗骑士,,阿尔及利亚-王国军方旗骑士 [通用 重巡] | アルジェリー [维希教廷 重巡]
MNF Algérie,アルジェリー,ja-JP,en-US,903021,重巡,Heavy Cruiser,维希教廷,Vichya Dominion,,,阿尔及利亚,,阿尔及利亚-王国军方旗骑士 [通用 重巡] | アルジェリー [维希教廷 重巡]
MNF Clemenceau,クレマンソー,ja-JP,en-US,905021,战列,Battleship,维希教廷,Vichya Dominion,,,克莱蒙梭,,
MNF Dunkerque,ダンケルク,ja-JP,en-US,904011,战巡,Battlecruiser,维希教廷,Vichya Dominion,,,敦刻尔克,,
MNF Dupleix,デュプレクス,ja-JP,en-US,900445,重巡,Heavy Cruiser,维希教廷,Vichya Dominion,,,迪普莱克斯,,
MNF Flandre,フランドル,ja-JP,en-US,900398,超巡,Large Cruiser,维希教廷,Vichya Dominion,,,弗兰德尔,,
MNF Fleuret,フルーレ,ja-JP,en-US,901051,驱逐,Destroyer,维希教廷,Vichya Dominion,,,花剑,,
MNF Foch,フォッシュ,ja-JP,en-US,903011,重巡,Heavy Cruiser,维希教廷,Vichya Dominion,,,福煦,,
MNF Gascogne,ガスコーニュ,ja-JP,en-US,900399,战列,Battleship,皇家,Royal Navy,,,加斯科涅,,ガスコーニュ [皇家 战列] | ガスコーニュ(μ兵装) [维希教廷 战列]
MNF Gascogne,ガスコーニュ(μ兵装),ja-JP,en-US,905031,战列,Battleship,维希教廷,Vichya Dominion,μ兵装,,加斯科涅(μ兵装),,ガスコーニュ [皇家 战列] | ガスコーニュ(μ兵装) [维希教廷 战列]
MNF Jean Bart,ジャン・バール,ja-JP,en-US,905011,战列,Battleship,维希教廷,Vichya Dominion,,,让·巴尔,简·布罗伊,
MNF Joffre,霞飞-战斗天使,ja-JP,en-US,900423,正航,Aircraft Carrier,通用,Universal,,,霞飞-战斗天使,,霞飞-战斗天使 [通用 正航] | ジョッフル [维希教廷 正航]
MNF Joffre,ジョッフル,ja-JP,en-US,907011,正航,Aircraft Carrier,维希教廷,Vichya Dominion,,,霞飞,,霞飞-战斗天使 [通用 正航] | ジョッフル [维希教廷 正航]
MNF Kersaint,ケルサン,ja-JP,en-US,901041,驱逐,Destroyer,维希教廷,Vichya Dominion,,,凯尔圣,,
MNF L'Audacieux,ローダシュー,ja-JP,en-US,900444,驱逐,Destroyer,维希教廷,Vichya Dominion,,,果敢,,
MNF L'Indomptable,不屈-王国军守护骑士,ja-JP,en-US,900420,驱逐,Destroyer,通用,Universal,,,不屈-王国军守护骑士,,不屈-王国军守护骑士 [通用 驱逐] | ランドンターブル [维希教廷 驱逐]
MNF L'Indomptable,ランドンターブル,ja-JP,en-US,901131,驱逐,Destroyer,维希教廷,Vichya Dominion,,,不屈,,不屈-王国军守护骑士 [通用 驱逐] | ランドンターブル [维希教廷 驱逐]
MNF La Galissonnière,ラ・ガリソニエール,ja-JP,en-US,902011,轻巡,Light Cruiser,维希教廷,Vichya Dominion,,,拉·加利索尼埃,,
MNF Le Malin,ル・マラン,ja-JP,en-US,901111,驱逐,Destroyer,维希教廷,Vichya Dominion,,,恶毒,,ル・マラン [维希教廷 驱逐] | ル・マラン(μ兵装) [维希教廷 驱逐]
MNF Le Malin,ル・マラン(μ兵装),ja-JP,en-US,901121,驱逐,Destroyer,维希教廷,Vichya Dominion,μ兵装,,恶毒(μ兵装),,ル・マラン [维希教廷 驱逐] | ル・マラン(μ兵装) [维希教廷 驱逐]
MNF Le Mars,ル・マルス,ja-JP,en-US,901011,驱逐,Destroyer,维希教廷,Vichya Dominion,,,勒马尔,,
MNF Marseillaise,マルセイエーズ,ja-JP,en-US,902021,轻巡,Light Cruiser,维希教廷,Vichya Dominion,,,马赛曲,,
MNF Mogador,モガドール,ja-JP,en-US,900809,驱逐,Destroyer,维希教廷,Vichya Dominion,,,莫加多尔,,
MNF Strasbourg,ストラスブール,ja-JP,en-US,900446,战巡,Battlecruiser,维希教廷,Vichya Dominion,,,斯特拉斯堡,,
MNF Tartu,タルテュ,ja-JP,en-US,901021,驱逐,Destroyer,维希教廷,Vichya Dominion,,,塔尔图,,
MNF Vauquelin,ヴォークラン,ja-JP,en-US,901031,驱逐,Destroyer,维希教廷,Vichya Dominion,,,沃克兰,,
MNF Épée,エペ,ja-JP,en-US,901061,驱逐,Destroyer,维希教廷,Vichya Dominion,,,重剑,,
Mogador,モガドール,ja-JP,en-US,900809,驱逐,Destroyer,维希教廷,Vichya Dominion,,,莫加多尔,,
Mogami,最上,ja-JP,en-US,302101,轻巡,Light Cruiser,重樱,Sakura Empire,,,最上,猨,
Momo Belia Deviluke,モモ・ベリア・デビルーク,ja-JP,en-US,900475,轻巡,Light Cruiser,联动阵营,Collab,,,梦梦·贝莉雅·戴比路克,,
Monarch,モナーク,ja-JP,en-US,299021,战列,Battleship,皇家,Royal Navy,,,君主,,
Monica,モニカ,ja-JP,en-US,10600071,轻巡,Light Cruiser,联动阵营,Collab,,,莫妮卡,,
Montpelier,モントピリア,ja-JP,en-US,102141,轻巡,Light Cruiser,白鹰,Eagle Union,,,蒙彼利埃,,
Morrison,モリソン,ja-JP,en-US,101471,驱逐,Destroyer,白鹰,Eagle Union,,,莫里森,赛普拉斯,
Moskva,モスクワ,ja-JP,en-US,703031,重巡,Heavy Cruiser,北方联合,Northern Parliament,,,莫斯科,,
MOT Adventure,アドベンチャー,ja-JP,en-US,9600161,风帆,Sailing Frigate,飓风船团,Tempesta,,,冒险号,,
MOT Adventure Galley,アドヴェンチャー・ギャレー,ja-JP,en-US,900465,风帆,Sailing Frigate,飓风船团,Tempesta,,,加里冒险号,,
MOT Adventure Portsmouth,ポーツマウス・アドベンチャー,ja-JP,en-US,900466,风帆,Sailing Frigate,飓风船团,Tempesta,,,朴茨茅斯冒险号,,
MOT Amity,和睦号,ja-JP,en-US,900523,风帆,Sailing Frigate,飓风船团,Tempesta,,,和睦号,,
MOT Dolphin,ドルフィン,ja-JP,en-US,9600111,风帆,Sailing Frigate,飓风船团,Tempesta,,,海豚号,,
MOT Fancy,ファンシー,ja-JP,en-US,9600081,风帆,Sailing Frigate,飓风船团,Tempesta,,,幻想号,,
MOT Ganj-i-Sawai,ガンズウェイ,ja-JP,en-US,900468,风帆,Sailing Frigate,飓风船团,Tempesta,,,冈依沙瓦号,,
MOT Golden Hind,ゴールデン・ハインド,ja-JP,en-US,900464,风帆,Sailing Frigate,飓风船团,Tempesta,,,金鹿号,,
MOT Lyme,ライム,ja-JP,en-US,9600131,风帆,Sailing Frigate,飓风船团,Tempesta,,,莱姆号,,
MOT Mary Celeste,メアリー・セレスト,ja-JP,en-US,900462,风帆,Sailing Frigate,飓风船团,Tempesta,,,玛丽·西莱斯特号,,
MOT Pearl,パール,ja-JP,en-US,9600141,风帆,Sailing Frigate,飓风船团,Tempesta,,,珍珠号,,
MOT Queen Anne's Revenge,クイーン・アンズ・リベンジ,ja-JP,en-US,9600121,风帆,Sailing Frigate,飓风船团,Tempesta,,,安妮女王复仇号,,
MOT Royal Fortune,ロイヤル・フォーチュン,ja-JP,en-US,900405,风帆,Sailing Frigate,飓风船团,Tempesta,,,皇家财富号,,
MOT Royal James,ロイヤル・ジェームズ,ja-JP,en-US,9600151,风帆,Sailing Frigate,飓风船团,Tempesta,,,皇家詹姆斯号,,
MOT São Martinho,サン・マルチーニョ,ja-JP,en-US,900463,风帆,Sailing Frigate,飓风船团,Tempesta,,,圣马丁号,,
MOT Whydah,ウィダー,ja-JP,en-US,9600051,风帆,Sailing Frigate,飓风船团,Tempesta,,,维达号,,
Mujina,ムジナ,ja-JP,en-US,10800071,战列,Battleship,联动阵营,Collab,,,貉,,
Mullany,マラニー,ja-JP,en-US,101391,驱逐,Destroyer,白鹰,Eagle Union,,,马拉尼,,
Murasaki,紫,ja-JP,en-US,11000061,轻航,Light Carrier,联动阵营,Collab,,,紫,,
Murasaki Shion,紫咲シオン,ja-JP,en-US,900805,轻航,Light Carrier,联动阵营,Collab,,,紫咲诗音,,
Murmansk,ムルマンスク,ja-JP,en-US,702061,轻巡,Light Cruiser,北方联合,Northern Parliament,,,摩尔曼斯克,,
Musashi,武蔵,ja-JP,en-US,305101,战列,Battleship,重樱,Sakura Empire,,,武藏,鳄,
Musketeer,マスケティーア,ja-JP,en-US,201271,驱逐,Destroyer,皇家,Royal Navy,,,火枪手,,
Mutsu,陸奥,ja-JP,en-US,305061,战列,Battleship,重樱,Sakura Empire,,,陆奥,鲛,
Mutsuki,睦月,ja-JP,en-US,301321,驱逐,Destroyer,重樱,Sakura Empire,,,睦月,松,
Myoukou,妙高,ja-JP,en-US,303071,重巡,Heavy Cruiser,重樱,Sakura Empire,,,妙高,獌,
Nachi,那智,ja-JP,en-US,303081,重巡,Heavy Cruiser,重樱,Sakura Empire,,,那智,狏,
Naganami,長波,ja-JP,en-US,301831,驱逐,Destroyer,重樱,Sakura Empire,,,长波,苌,
Nagara,長良,ja-JP,en-US,302041,轻巡,Light Cruiser,重樱,Sakura Empire,,,长良,貊,
Nagato,長門,ja-JP,en-US,305051,战列,Battleship,重樱,Sakura Empire,,,长门,鲨,
Nagato META,长门·META,ja-JP,en-US,900459,战列,Battleship,META,META,META,,长门·META,鲨·META,
Nagato.META,长门·META,ja-JP,en-US,900459,战列,Battleship,META,META,META,,长门·META,鲨·META,
Nagatsuki,長月,ja-JP,en-US,301391,驱逐,Destroyer,重樱,Sakura Empire,,,长月,枨,
Nagisa,なぎさ,ja-JP,en-US,10600051,战列,Battleship,联动阵营,Collab,,,凪咲,,
Naka,那珂,ja-JP,en-US,302141,轻巡,Light Cruiser,重樱,Sakura Empire,,,那珂,豻,
Nakiri Ayame,百鬼あやめ,ja-JP,en-US,900803,重巡,Heavy Cruiser,联动阵营,Collab,,,百鬼绫目,,
Namiko,なみこ,ja-JP,en-US,10800041,重巡,Heavy Cruiser,联动阵营,Collab,,,奈美子,,
Nana Asta Deviluke,ナナ・アスタ・デビルーク,ja-JP,en-US,900474,驱逐,Destroyer,联动阵营,Collab,,,娜娜·阿丝达·戴比路克,,
Nana Astar Deviluke,ナナ・アスタ・デビルーク,ja-JP,en-US,900474,驱逐,Destroyer,联动阵营,Collab,,,娜娜·阿丝达·戴比路克,,
Napoli,ナポリ,ja-JP,en-US,699021,重巡,Heavy Cruiser,撒丁帝国,Sardegna Empire,,,那不勒斯,,
Natori,名取,ja-JP,en-US,302061,轻巡,Light Cruiser,重樱,Sakura Empire,,,名取,猽,
Natsuiro Matsuri,夏色まつり,ja-JP,en-US,900802,驱逐,Destroyer,联动阵营,Collab,,,夏色祭,,
Nautilus,ノーチラス,ja-JP,en-US,108071,潜艇,Submarine,白鹰,Eagle Union,,,鹦鹉螺,,
Nayoro,名寄,ja-JP,en-US,302291,轻巡,Light Cruiser,重樱,Sakura Empire,,,名寄,貀,
Nelson,ネルソン,ja-JP,en-US,205031,战列,Battleship,皇家,Royal Navy,,,纳尔逊,,
Neptune,ネプチューン,ja-JP,en-US,299011,轻巡,Light Cruiser,皇家,Royal Navy,,,海王星,,ネプチューン [皇家 轻巡] | ネプテューヌ [联动阵营 轻巡]
Neptune,ネプテューヌ,ja-JP,en-US,10100011,轻巡,Light Cruiser,联动阵营,Collab,,,涅普顿,,ネプチューン [皇家 轻巡] | ネプテューヌ [联动阵营 轻巡]
Nevada,ネバダ,ja-JP,en-US,105011,战列,Battleship,白鹰,Eagle Union,,,内华达,,
Nevada META,ネバダ(META),ja-JP,en-US,9705091,战列,Battleship,META,META,META,,内华达·META,,
Nevada.META,ネバダ(META),ja-JP,en-US,9705091,战列,Battleship,META,META,META,,内华达·META,,
New Jersey,ニュージャージー,ja-JP,en-US,105171,战列,Battleship,白鹰,Eagle Union,,,新泽西,花园,
New Orleans,ニューオリンズ,ja-JP,en-US,103121,重巡,Heavy Cruiser,白鹰,Eagle Union,,,新奥尔良,,
Newcastle,ニューカッスル,ja-JP,en-US,202191,轻巡,Light Cruiser,皇家,Royal Navy,,,纽卡斯尔,,
Nicholas,ニコラス,ja-JP,en-US,101311,驱逐,Destroyer,白鹰,Eagle Union,,,尼古拉斯,,
Nicoloso da Recco,ニコロソ・ダ・レッコ,ja-JP,en-US,601061,驱逐,Destroyer,撒丁帝国,Sardegna Empire,,,尼科洛索·达雷科,,
Nidaime,2代目,ja-JP,en-US,10800081,航战,Aviation Battleship,联动阵营,Collab,,,第二代,,
Niizuki,新月,ja-JP,en-US,301561,驱逐,Destroyer,重樱,Sakura Empire,,,新月,枥,
Nina Friede,妮娜·弗里德,ja-JP,en-US,900518,战列,Battleship,联动阵营,Collab,,,妮娜·弗里德,,
Ning Hai,寧海,ja-JP,en-US,502021,轻巡,Light Cruiser,东煌,Dragon Empery,,,宁海,,
Noire,ノワール,ja-JP,en-US,10100021,重巡,Heavy Cruiser,联动阵营,Collab,,,诺瓦露,,
Norfolk,ノーフォーク,ja-JP,en-US,203051,重巡,Heavy Cruiser,皇家,Royal Navy,,,诺福克,,
North Carolina,ノースカロライナ,ja-JP,en-US,105121,战列,Battleship,白鹰,Eagle Union,,,北卡罗来纳,,
Northampton,ノーザンプトン,ja-JP,en-US,103031,重巡,Heavy Cruiser,白鹰,Eagle Union,,,北安普敦,,
Northampton II,ノーザンプトンⅡ,ja-JP,en-US,103261,重巡,Heavy Cruiser,白鹰,Eagle Union,II型,,北安普敦II,,
Noshiro,能代,ja-JP,en-US,302211,轻巡,Light Cruiser,重樱,Sakura Empire,,,能代,貅,
Noshiro μ,能代(μ兵装),ja-JP,en-US,302241,轻巡,Light Cruiser,重樱,Sakura Empire,μ兵装,,能代(μ兵装),貅(μ兵装),
Nowaki,野分,ja-JP,en-US,301201,驱逐,Destroyer,重樱,Sakura Empire,,,野分,苓,
Nubian,ヌビアン,ja-JP,en-US,201371,驱逐,Destroyer,皇家,Royal Navy,,,努比亚人,,ヌビアン [皇家 驱逐] | 努比亚人-药剂师 [通用 战巡]
Nubian,努比亚人-药剂师,ja-JP,en-US,900416,战巡,Battlecruiser,通用,Universal,,,努比亚人-药剂师,,ヌビアン [皇家 驱逐] | 努比亚人-药剂师 [通用 战巡]
Nyotengu,女天狗,ja-JP,en-US,10600061,正航,Aircraft Carrier,联动阵营,Collab,,,女天狗,,
Nürnberg,ニュルンベルク,ja-JP,en-US,402051,轻巡,Light Cruiser,铁血,Iron Blood,,,纽伦堡,诺菈,
Observer zero,オブザーバー・零,ja-JP,en-US,900136,正航,Aircraft Carrier,白鹰,Eagle Union,,,观察者-零,,
Odin,オーディン,ja-JP,en-US,499041,战巡,Battlecruiser,铁血,Iron Blood,,,奥丁,沃登,
Ognevoy,オグネヴォイ,ja-JP,en-US,701111,驱逐,Destroyer,北方联合,Northern Parliament,,,火力,,
Oite,追風,ja-JP,en-US,301851,驱逐,Destroyer,重樱,Sakura Empire,,,追风,椎,
Oklahoma,オクラホマ,ja-JP,en-US,105021,战列,Battleship,白鹰,Eagle Union,,,俄克拉荷马,,
Oleg,オレグ,ja-JP,en-US,702081,轻巡,Light Cruiser,北方联合,Northern Parliament,,,奥列格,,
Omaha,オマハ,ja-JP,en-US,102011,轻巡,Light Cruiser,白鹰,Eagle Union,,,奥马哈,,
Ooshio,大潮,ja-JP,en-US,301641,驱逐,Destroyer,重樱,Sakura Empire,,,大潮,荙,
Origami Tobiichi,鳶一折紙,ja-JP,en-US,11500021,正航,Aircraft Carrier,联动阵营,Collab,,,鸢一折纸,,
Otto von Alvensleben,オットー・フォン・アルフェンスレーベン,ja-JP,en-US,401991,驱逐,Destroyer,铁血,Iron Blood,,,奥托·冯·阿尔文斯莱本,奥莉薇娅·冯·阿诺德,
Oumi,近江,ja-JP,en-US,305161,战列,Battleship,重樱,Sakura Empire,,,近江,鳉,
Owari,尾張,ja-JP,en-US,305131,战列,Battleship,重樱,Sakura Empire,,,尾张,鳂,
Oyashio,親潮,ja-JP,en-US,301281,驱逐,Destroyer,重樱,Sakura Empire,,,亲潮,藮,
Ozornoy,オゾルノイ,ja-JP,en-US,701131,驱逐,Destroyer,北方联合,Northern Parliament,,,顽皮,,
Painlevé,パンルヴェ,ja-JP,en-US,807021,正航,Aircraft Carrier,自由鸢尾,Iris Libre,,,伴尔维,,
Pamiat' Merkuria,パーミャチ・メルクーリヤ,ja-JP,en-US,702021,轻巡,Light Cruiser,北方联合,Northern Parliament,,,水星纪念,,
Pamiat' Merkuria META,パーミャチ・メルクーリヤ(META),ja-JP,en-US,9702071,轻巡,Light Cruiser,META,META,META,,水星纪念·META,,
Pamiat' Merkuria.META,パーミャチ・メルクーリヤ(META),ja-JP,en-US,9702071,轻巡,Light Cruiser,META,META,META,,水星纪念·META,,
