source,target,tgt_lng,src_lng,ship_id,ship_type_zh,ship_type_en,nation_zh,nation_en,variant,zh_CN_form,zh_CN_standard,zh_CN_harmonised,same_source_alternatives
IJN Tanikaze,타니카제,ko-KR,en-US,301621,驱逐,Destroyer,重樱,Sakura Empire,,,谷风,栭,
IJN Tosa,토사,ko-KR,en-US,305081,战列,Battleship,重樱,Sakura Empire,,,土佐,䲠,
IJN Umikaze,우미카제,ko-KR,en-US,301471,驱逐,Destroyer,重樱,Sakura Empire,,,海风,菪,
IJN Unryū,운류,ko-KR,en-US,307171,正航,Aircraft Carrier,重樱,Sakura Empire,,,云龙,靇,
IJN Unzen,운젠,ko-KR,en-US,303191,重巡,Heavy Cruiser,重樱,Sakura Empire,,,云仙,猃,
IJN Urakaze,우라카제,ko-KR,en-US,301591,驱逐,Destroyer,重樱,Sakura Empire,,,浦风,槆,
IJN Uranami,우라나미,ko-KR,en-US,301721,驱逐,Destroyer,重樱,Sakura Empire,,,浦波,朴,
IJN Uzuki,우즈키,ko-KR,en-US,301351,驱逐,Destroyer,重樱,Sakura Empire,,,卯月,楙,
IJN Wakaba,와카바,ko-KR,en-US,301231,驱逐,Destroyer,重樱,Sakura Empire,,,若叶,楉,
IJN Wakatsuki,와카츠키,ko-KR,en-US,301881,驱逐,Destroyer,重樱,Sakura Empire,,,若月,若,
IJN Watarase,와타라세,ko-KR,en-US,302251,轻巡,Light Cruiser,重樱,Sakura Empire,,,渡良濑,獭,
IJN Yamakaze,야마카제,ko-KR,en-US,301481,驱逐,Destroyer,重樱,Sakura Empire,,,山风,杣,
IJN Yamashiro,야마시로,ko-KR,en-US,305021,战列,Battleship,重樱,Sakura Empire,,,山城,鲼,
IJN Yoizuki,요이즈키,ko-KR,en-US,301581,驱逐,Destroyer,重樱,Sakura Empire,,,宵月,楛,
IJN Yukikaze,유키카제,ko-KR,en-US,301161,驱逐,Destroyer,重樱,Sakura Empire,,,雪风,莲,
IJN Yura,유라,ko-KR,en-US,302071,轻巡,Light Cruiser,重樱,Sakura Empire,,,由良,㹨,
IJN Yūbari,유바리,ko-KR,en-US,302011,轻巡,Light Cruiser,重樱,Sakura Empire,,,夕张,狐,
IJN Yūdachi,유다치,ko-KR,en-US,301141,驱逐,Destroyer,重樱,Sakura Empire,,,夕立,椿,
IJN Yūgure,유구레,ko-KR,en-US,301261,驱逐,Destroyer,重樱,Sakura Empire,,,夕暮,棭,
IJN Zuihō,즈이호,ko-KR,en-US,306041,轻航,Light Carrier,重樱,Sakura Empire,,,瑞凤,鹳,
IJN Zuikaku,즈이카쿠,ko-KR,en-US,307061,正航,Aircraft Carrier,重樱,Sakura Empire,,,瑞鹤,鹤,
IJN Ōshio,오오시오,ko-KR,en-US,301641,驱逐,Destroyer,重樱,Sakura Empire,,,大潮,荙,
Ikaruga,이카루가,ko-KR,en-US,11000021,重巡,Heavy Cruiser,联动阵营,Collab,,,斑鸠,,
Ikazuchi,이카즈치,ko-KR,en-US,301111,驱逐,Destroyer,重樱,Sakura Empire,,,雷,梓,
Illustrious,일러스트리어스,ko-KR,en-US,207031,正航,Aircraft Carrier,皇家,Royal Navy,,,光辉,,
Illustrious μ,일러스트리어스(μ장비),ko-KR,en-US,207111,正航,Aircraft Carrier,皇家,Royal Navy,μ兵装,,光辉(μ兵装),,
Impero,임페로,ko-KR,en-US,607021,正航,Aircraft Carrier,撒丁帝国,Sardegna Empire,,,帝国,,
Implacable,임플래커블,ko-KR,en-US,207071,正航,Aircraft Carrier,皇家,Royal Navy,,,怨仇,,
Inazuma,이나즈마,ko-KR,en-US,301121,驱逐,Destroyer,重樱,Sakura Empire,,,电,柏,
Independence,인디펜던스,ko-KR,en-US,107221,轻航,Light Carrier,白鹰,Eagle Union,,,独立,,
Indiana,인디애나,ko-KR,en-US,105151,战列,Battleship,白鹰,Eagle Union,,,印第安纳,,
Indianapolis,인디애나폴리스,ko-KR,en-US,103071,重巡,Heavy Cruiser,白鹰,Eagle Union,,,印第安纳波利斯,,
Indomitable,인도미터블,ko-KR,en-US,207121,正航,Aircraft Carrier,皇家,Royal Navy,,,不挠,,
Ingraham,잉그레이엄,ko-KR,en-US,101481,驱逐,Destroyer,白鹰,Eagle Union,,,英格拉罕,格拉哈姆,
Intrepid,인트레피드,ko-KR,en-US,107111,正航,Aircraft Carrier,白鹰,Eagle Union,,,无畏,,
Iori Minase,미나세 이오리,ko-KR,en-US,10700031,战列,Battleship,联动阵营,Collab,,,水濑伊织,,
Iron Bulin,시제형 부린 MK II 기갑 1호,ko-KR,en-US,900424,超巡,Large Cruiser,通用,Universal,,,金布里机甲1号,,
Ise,이세,ko-KR,en-US,305031,战列,Battleship,重樱,Sakura Empire,,,伊势,鳌,
Isla von Duerer,아일라 폰 뒤러,ko-KR,en-US,900515,轻巡,Light Cruiser,联动阵营,Collab,,,艾菈·冯·杜勒,,
Isokaze,이소카제,ko-KR,en-US,301601,驱逐,Destroyer,重樱,Sakura Empire,,,矶风,柉,
Isuzu,이스즈,ko-KR,en-US,302051,轻巡,Light Cruiser,重樱,Sakura Empire,,,五十铃,貉,
Izumo,이즈모,ko-KR,en-US,399021,战列,Battleship,重樱,Sakura Empire,,,出云,侌,
Jade,야드,ko-KR,en-US,406031,轻航,Light Carrier,铁血,Iron Blood,,,亚德,阿黛尔,
Jamaica,자메이카,ko-KR,en-US,202171,轻巡,Light Cruiser,皇家,Royal Navy,,,牙买加,,
Janus,재너스,ko-KR,en-US,201351,驱逐,Destroyer,皇家,Royal Navy,,,雅努斯,,
Javelin,재블린,ko-KR,en-US,201211,驱逐,Destroyer,皇家,Royal Navy,,,标枪,,
Jean Bart,장 바르,ko-KR,en-US,905011,战列,Battleship,维希教廷,Vichya Dominion,,,让·巴尔,简·布罗伊,
Jeanne d'Arc,잔 다르크,ko-KR,en-US,802021,轻巡,Light Cruiser,自由鸢尾,Iris Libre,,,圣女贞德,,
Jenkins,젠킨스,ko-KR,en-US,101301,驱逐,Destroyer,白鹰,Eagle Union,,,杰金斯,,
Jersey,저지,ko-KR,en-US,201251,驱逐,Destroyer,皇家,Royal Navy,,,泽西,,
Jervis,저비스,ko-KR,en-US,201341,驱逐,Destroyer,皇家,Royal Navy,,,贾维斯,,
Jintsuu,진츠,ko-KR,en-US,302131,轻巡,Light Cruiser,重樱,Sakura Empire,,,神通,貎,
Jintsuu META,진츠·META,ko-KR,en-US,900458,轻巡,Light Cruiser,META,META,META,,神通·META,貎·META,
Jintsū.META,진츠·META,ko-KR,en-US,900458,轻巡,Light Cruiser,META,META,META,,神通·META,貎·META,
Joffre,조프르,ko-KR,en-US,907011,正航,Aircraft Carrier,维希教廷,Vichya Dominion,,,霞飞,,
Jun'yō.META,준요·META,ko-KR,en-US,9706021,轻航,Light Carrier,META,META,META,,隼鹰·META,鸢·META,
Juneau,쥬노,ko-KR,en-US,102071,轻巡,Light Cruiser,白鹰,Eagle Union,,,朱诺,,
Juno,주노,ko-KR,en-US,201221,驱逐,Destroyer,皇家,Royal Navy,,,天后,,
Junyou,준요,ko-KR,en-US,306021,轻航,Light Carrier,重樱,Sakura Empire,,,隼鹰,鸢,
Junyou META,준요·META,ko-KR,en-US,9706021,轻航,Light Carrier,META,META,META,,隼鹰·META,鸢·META,
Jupiter,주피터,ko-KR,en-US,201241,驱逐,Destroyer,皇家,Royal Navy,,,丘比特,,
Kaga,카가,ko-KR,en-US,307021,正航,Aircraft Carrier,重樱,Sakura Empire,,,加贺,鸾,
Kaga(BB),카가,ko-KR,en-US,305071,战列,Battleship,重樱,Sakura Empire,,,加贺,鸾,
Kagerou,카게로,ko-KR,en-US,301171,驱逐,Destroyer,重樱,Sakura Empire,,,阳炎,萩,
Kaguya Yamai·Yuzuru Yamai,야마이 카구야 · 야마이 유즈루,ko-KR,en-US,11500061,轻巡,Light Cruiser,联动阵营,Collab,,,八舞耶俱矢·八舞夕弦,,
Kaguya Yamai・Yuzuru Yamai,야마이 카구야 · 야마이 유즈루,ko-KR,en-US,11500061,轻巡,Light Cruiser,联动阵营,Collab,,,八舞耶俱矢·八舞夕弦,,
Kako,카코,ko-KR,en-US,303021,重巡,Heavy Cruiser,重樱,Sakura Empire,,,加古,狌,
Kala Ideas,칼라 이데아스,ko-KR,en-US,10900061,超巡,Large Cruiser,联动阵营,Collab,,,卡菈·伊迪亚斯,,
Kalk,커크,ko-KR,en-US,101371,驱逐,Destroyer,白鹰,Eagle Union,,,科尔克,,
Kamikaze,카미카제,ko-KR,en-US,301301,驱逐,Destroyer,重樱,Sakura Empire,,,神风,榊,
Kansas,캔자스,ko-KR,en-US,199061,战列,Battleship,白鹰,Eagle Union,,,堪萨斯,,
Karlsruhe,카를스루에,ko-KR,en-US,402021,轻巡,Light Cruiser,铁血,Iron Blood,,,卡尔斯鲁厄,夏璐尔,
Kashino,카시노,ko-KR,en-US,319011,运输,Munition Ship,重樱,Sakura Empire,,,樫野,㭴,
Kasumi,카스미,ko-KR,en-US,10600031,重巡,Heavy Cruiser,联动阵营,Collab,,,霞,蕸,
Kasumi META,카스미·META,ko-KR,en-US,900457,驱逐,Destroyer,META,META,META,,霞·META,蕸·META,
Kasumi Retrofit,카스미·改,ko-KR,en-US,301534,驱逐,Destroyer,重樱,Sakura Empire,,,霞.改,蕸.改,
Kasumi.META,카스미·META,ko-KR,en-US,900457,驱逐,Destroyer,META,META,META,,霞·META,蕸·META,
Katsuragi,카츠라기,ko-KR,en-US,307121,正航,Aircraft Carrier,重樱,Sakura Empire,,,葛城,鹖,
Kawakaze,카와카제,ko-KR,en-US,301491,驱逐,Destroyer,重樱,Sakura Empire,,,江风,茳,
Kawakaze META,카와카제·META,ko-KR,en-US,9701081,驱逐,Destroyer,META,META,META,,江风·META,茳·META,
Kawakaze.META,카와카제·META,ko-KR,en-US,9701081,驱逐,Destroyer,META,META,META,,江风·META,茳·META,
Kazagumo,카자구모,ko-KR,en-US,301861,驱逐,Destroyer,重樱,Sakura Empire,,,风云,枟,
Kazan,카잔,ko-KR,en-US,705091,战列,Battleship,北方联合,Northern Parliament,,,喀山,,
Kearsarge,키어사지,ko-KR,en-US,199041,航战,Aviation Battleship,白鹰,Eagle Union,,,奇尔沙治,,
Kent,켄트,ko-KR,en-US,203031,重巡,Heavy Cruiser,皇家,Royal Navy,,,肯特,,
Kersaint,케르생,ko-KR,en-US,901041,驱逐,Destroyer,维希教廷,Vichya Dominion,,,凯尔圣,,
Kiev,키예프,ko-KR,en-US,701101,驱逐,Destroyer,北方联合,Northern Parliament,,,基辅,,
Kii,키이,ko-KR,en-US,305121,战列,Battleship,重樱,Sakura Empire,,,纪伊,鲣,
Kimberly,킴벌리,ko-KR,en-US,101381,驱逐,Destroyer,白鹰,Eagle Union,,,金伯利,,
Kimberly META,킴벌리·META,ko-KR,en-US,9701041,驱逐,Destroyer,META,META,META,,金伯利·META,,
Kimberly.META,킴벌리·META,ko-KR,en-US,9701041,驱逐,Destroyer,META,META,META,,金伯利·META,,
King George V,킹 조지 5세,ko-KR,en-US,205051,战列,Battleship,皇家,Royal Navy,,,英王乔治五世,,
Kinu,키누,ko-KR,en-US,302081,轻巡,Light Cruiser,重樱,Sakura Empire,,,鬼怒,猤,
Kinugasa,키누가사,ko-KR,en-US,303041,重巡,Heavy Cruiser,重樱,Sakura Empire,,,衣笠,猅,
Kirishima,키리시마,ko-KR,en-US,304041,战巡,Battlecruiser,重樱,Sakura Empire,,,雾岛,鳗,
Kirov,키로프,ko-KR,en-US,702041,轻巡,Light Cruiser,北方联合,Northern Parliament,,,基洛夫,,
Kisaragi,키사라기,ko-KR,en-US,301331,驱逐,Destroyer,重樱,Sakura Empire,,,如月,樟,
Kitakaze,키타카제,ko-KR,en-US,399031,驱逐,Destroyer,重樱,Sakura Empire,,,北风,苝,
Kiyonami,키요나미,ko-KR,en-US,301541,驱逐,Destroyer,重樱,Sakura Empire,,,清波,棈,
Kizu,키즈,ko-KR,en-US,302281,轻巡,Light Cruiser,重樱,Sakura Empire,,,木津,貘,
Kizuna AI,키즈나 아이,ko-KR,en-US,10400011,驱逐,Destroyer,联动阵营,Collab,,,绊爱,,
KizunaAI,키즈나 아이,ko-KR,en-US,10400011,驱逐,Destroyer,联动阵营,Collab,,,绊爱,,
KizunaAI·Anniversary,키즈나 아이 - 애니버서리,ko-KR,en-US,10400031,正航,Aircraft Carrier,联动阵营,Collab,,,绊爱·Anniversary,,
KizunaAI·Elegant,키즈나 아이 - 엘레강트,ko-KR,en-US,10400021,重巡,Heavy Cruiser,联动阵营,Collab,,,绊爱·Elegant,,
KizunaAI·SuperGamer,키즈나 아이 - 슈퍼 게이머,ko-KR,en-US,10400041,战列,Battleship,联动阵营,Collab,,,绊爱·SuperGamer,,
Klaudia Valentz,클라우디아 발렌츠,ko-KR,en-US,10900021,轻航,Light Carrier,联动阵营,Collab,,,科洛蒂娅·巴兰茨,,
KMS Admiral Graf Spee,아드미랄 그라프 슈피,ko-KR,en-US,403051,重巡,Heavy Cruiser,铁血,Iron Blood,,,斯佩伯爵海军上将,休贝塔伯爵,아드미랄 그라프 슈피 [铁血 重巡] | 꼬마 슈피 [铁血 重巡]
KMS Admiral Graf Spee,꼬마 슈피,ko-KR,en-US,403131,重巡,Heavy Cruiser,铁血,Iron Blood,,,小斯佩,小休贝塔,아드미랄 그라프 슈피 [铁血 重巡] | 꼬마 슈피 [铁血 重巡]
KMS Admiral Hipper,아드미랄 히퍼,ko-KR,en-US,403011,重巡,Heavy Cruiser,铁血,Iron Blood,,,希佩尔海军上将,芙兰希卡,아드미랄 히퍼 [铁血 重巡] | 아드미랄 히퍼(μ장비) [铁血 重巡]
KMS Admiral Hipper,아드미랄 히퍼(μ장비),ko-KR,en-US,403071,重巡,Heavy Cruiser,铁血,Iron Blood,μ兵装,,希佩尔海军上将(μ兵装),芙兰希卡(μ兵装),아드미랄 히퍼 [铁血 重巡] | 아드미랄 히퍼(μ장비) [铁血 重巡]
KMS Admiral Zenker,아드미랄 젠커,ko-KR,en-US,404071,战巡,Battlecruiser,铁血,Iron Blood,,,曾克海军上将,泽特,
KMS Alvitr,알비트,ko-KR,en-US,404061,战巡,Battlecruiser,铁血,Iron Blood,,,亚尔薇特,,
KMS August von Parseval,아우구스트 폰 파르제팔,ko-KR,en-US,499061,正航,Aircraft Carrier,铁血,Iron Blood,,,奥古斯特·冯·帕塞瓦尔,奥斯特雷德·冯·帕赫贝尔,
KMS Bernd von Arnim,Z11,ko-KR,en-US,401111,驱逐,Destroyer,铁血,Iron Blood,,,Z11,伯莎,
KMS Bismarck,비스마르크,ko-KR,en-US,405011,战列,Battleship,铁血,Iron Blood,,,俾斯麦,奥德莉亚,
KMS Bismarck Zwei,비스마르크 Zwei,ko-KR,en-US,405051,战列,Battleship,铁血,Iron Blood,,,俾斯麦Zwei,奥德莉亚Zwei,
KMS Blücher,블뤼허,ko-KR,en-US,403021,重巡,Heavy Cruiser,铁血,Iron Blood,,,布吕歇尔,布丽吉特,
KMS Brünhilde,브륀힐드,ko-KR,en-US,404051,战巡,Battlecruiser,铁血,Iron Blood,,,布伦希尔德,贝尔莎,
KMS Deutschland,도이칠란트,ko-KR,en-US,403041,重巡,Heavy Cruiser,铁血,Iron Blood,,,德意志,亚勒玛妮亚,
KMS Duisburg,뒤스부르크,ko-KR,en-US,402111,轻巡,Light Cruiser,铁血,Iron Blood,,,杜伊斯堡,多琳妮娅,
KMS Elbe,엘베,ko-KR,en-US,406021,轻航,Light Carrier,铁血,Iron Blood,,,易北,埃尔斯贝特,
KMS Erich Koellner,Z13,ko-KR,en-US,401131,驱逐,Destroyer,铁血,Iron Blood,,,Z13,埃丝特,
KMS Felix Schultz,펠릭스 슐츠,ko-KR,en-US,499081,驱逐,Destroyer,铁血,Iron Blood,,,菲利克斯·舒尔茨,弗郎西斯卡·舒伯特,
KMS Friedrich Carl,프리드리히 카를,ko-KR,en-US,403141,重巡,Heavy Cruiser,铁血,Iron Blood,,,腓特烈·卡尔,腓德雷卡·卡尔,
KMS Friedrich der Grosse,꼬마 프리드리히,ko-KR,en-US,405061,战列,Battleship,铁血,Iron Blood,,,小腓特烈,小腓德雷卡,
KMS Friedrich der Große,프리드리히 데어 그로세,ko-KR,en-US,499021,战列,Battleship,铁血,Iron Blood,,,腓特烈大帝,腓德雷卡大帝,
KMS Friedrich Eckoldt,Z16,ko-KR,en-US,401161,驱逐,Destroyer,铁血,Iron Blood,,,Z16,弗蕾德贡,
KMS Fritz Rumey,프리츠 루메이,ko-KR,en-US,407041,正航,Aircraft Carrier,铁血,Iron Blood,,,弗里茨·鲁梅,菲莉西娅·鲁梅,
KMS Georg Thiele,Z2,ko-KR,en-US,401021,驱逐,Destroyer,铁血,Iron Blood,,,Z2,格尔达,
KMS Gneisenau,그나이제나우,ko-KR,en-US,404021,战巡,Battlecruiser,铁血,Iron Blood,,,格奈森瑙,奥古斯塔,
KMS Graf Zeppelin,그라프 체펠린,ko-KR,en-US,407011,正航,Aircraft Carrier,铁血,Iron Blood,,,齐柏林伯爵,海拉伯爵,그라프 체펠린 [铁血 正航] | 꼬마 그라프 체펠린 [铁血 正航]
KMS Graf Zeppelin,꼬마 그라프 체펠린,ko-KR,en-US,407021,正航,Aircraft Carrier,铁血,Iron Blood,,,小齐柏林,小海拉,그라프 체펠린 [铁血 正航] | 꼬마 그라프 체펠린 [铁血 正航]
KMS Hans Lüdemann,Z18,ko-KR,en-US,401181,驱逐,Destroyer,铁血,Iron Blood,,,Z18,汉娜,
KMS Hermann Künne,Z19,ko-KR,en-US,401191,驱逐,Destroyer,铁血,Iron Blood,,,Z19,赫尔米娜,
KMS Hindenburg,힌덴부르크,ko-KR,en-US,499091,重巡,Heavy Cruiser,铁血,Iron Blood,,,兴登堡,希尔德加德,
KMS Jade,야드,ko-KR,en-US,406031,轻航,Light Carrier,铁血,Iron Blood,,,亚德,阿黛尔,
KMS Karl Galster,Z20,ko-KR,en-US,401201,驱逐,Destroyer,铁血,Iron Blood,,,Z20,卡洛琳,
KMS Karlsruhe,카를스루에,ko-KR,en-US,402021,轻巡,Light Cruiser,铁血,Iron Blood,,,卡尔斯鲁厄,夏璐尔,
KMS Köln,쾰른,ko-KR,en-US,402031,轻巡,Light Cruiser,铁血,Iron Blood,,,科隆,克劳迪亚,
KMS Königsberg,쾨니히스베르크,ko-KR,en-US,402011,轻巡,Light Cruiser,铁血,Iron Blood,,,柯尼斯堡,阿尔伯缇娜,
KMS Leberecht Maass,Z1,ko-KR,en-US,401011,驱逐,Destroyer,铁血,Iron Blood,,,Z1,莉泽洛特,
KMS Leipzig,라이프치히,ko-KR,en-US,402041,轻巡,Light Cruiser,铁血,Iron Blood,,,莱比锡,莉普莎,
KMS Magdeburg,마그데부르크,ko-KR,en-US,402061,轻巡,Light Cruiser,铁血,Iron Blood,,,马格德堡,马格达莱娜,
KMS Mainz,마인츠,ko-KR,en-US,499031,轻巡,Light Cruiser,铁血,Iron Blood,,,美因茨,米兹,
KMS Mecklenburg,메클렌부르크,ko-KR,en-US,499101,战列,Battleship,铁血,Iron Blood,,,梅克伦堡,梅克琳达,
KMS Nürnberg,뉘른베르크,ko-KR,en-US,402051,轻巡,Light Cruiser,铁血,Iron Blood,,,纽伦堡,诺菈,
KMS Odin,오딘,ko-KR,en-US,499041,战巡,Battlecruiser,铁血,Iron Blood,,,奥丁,沃登,
KMS Otto von Alvensleben,오토 폰 알벤슬레벤,ko-KR,en-US,401991,驱逐,Destroyer,铁血,Iron Blood,,,奥托·冯·阿尔文斯莱本,奥莉薇娅·冯·阿诺德,
KMS Peter Strasser,페터 슈트라서,ko-KR,en-US,407031,正航,Aircraft Carrier,铁血,Iron Blood,,,彼得·史特拉塞,佩特菈·斯坦贝瑟,
KMS Prinz Adalbert,프린츠 아달베르트,ko-KR,en-US,403101,重巡,Heavy Cruiser,铁血,Iron Blood,,,阿达尔伯特亲王,阿德莉娅亲王,
KMS Prinz Eugen,프린츠 오이겐,ko-KR,en-US,403031,重巡,Heavy Cruiser,铁血,Iron Blood,,,欧根亲王,萨沃伊亲王,프린츠 오이겐 [铁血 重巡] | 꼬마 프린츠 오이겐 [铁血 重巡] | 프린츠 오이겐(μ장비) [铁血 重巡]
KMS Prinz Eugen,꼬마 프린츠 오이겐,ko-KR,en-US,403121,重巡,Heavy Cruiser,铁血,Iron Blood,,,小欧根,小萨沃伊,프린츠 오이겐 [铁血 重巡] | 꼬마 프린츠 오이겐 [铁血 重巡] | 프린츠 오이겐(μ장비) [铁血 重巡]
KMS Prinz Eugen,프린츠 오이겐(μ장비),ko-KR,en-US,403151,重巡,Heavy Cruiser,铁血,Iron Blood,μ兵装,,欧根亲王(μ兵装),萨沃伊亲王(μ兵装),프린츠 오이겐 [铁血 重巡] | 꼬마 프린츠 오이겐 [铁血 重巡] | 프린츠 오이겐(μ장비) [铁血 重巡]
KMS Prinz Heinrich,프린츠 하인리히,ko-KR,en-US,403091,重巡,Heavy Cruiser,铁血,Iron Blood,,,海因里希亲王,赫莉米娜亲王,
KMS Prinz Rupprecht,프린츠 루프레히트,ko-KR,en-US,499071,战巡,Battlecruiser,铁血,Iron Blood,,,鲁普雷希特亲王,蕾贝卡亲王,
KMS Regensburg,레겐스부르크,ko-KR,en-US,402101,轻巡,Light Cruiser,铁血,Iron Blood,,,雷根斯堡,瑞吉娜,
KMS Roon,론(μ장비),ko-KR,en-US,403081,重巡,Heavy Cruiser,铁血,Iron Blood,μ兵装,,罗恩(μ兵装),艾伯塔(μ兵装),론(μ장비) [铁血 重巡] | 론 [铁血 重巡]
KMS Roon,론,ko-KR,en-US,499011,重巡,Heavy Cruiser,铁血,Iron Blood,,,罗恩,艾伯塔,론(μ장비) [铁血 重巡] | 론 [铁血 重巡]
KMS Scharnhorst,샤른호르스트,ko-KR,en-US,404011,战巡,Battlecruiser,铁血,Iron Blood,,,沙恩霍斯特,格尔林德,
KMS Tirpitz,티르피츠,ko-KR,en-US,405021,战列,Battleship,铁血,Iron Blood,,,提尔比茨,阿尔芙莉达,
KMS U-101,U-101,ko-KR,en-US,408061,潜艇,Submarine,铁血,Iron Blood,,,U-101,优伊欧伊,
KMS U-110,U-110,ko-KR,en-US,408081,潜艇,Submarine,铁血,Iron Blood,,,U-110,优伊伊丽,
KMS U-1206,U-1206,ko-KR,en-US,408121,潜艇,Submarine,铁血,Iron Blood,,,U-1206,优伊妮欧露,
KMS U-31,U-31,ko-KR,en-US,408131,潜艇,Submarine,铁血,Iron Blood,,,U-31,优咪伊,
KMS U-37,U-37,ko-KR,en-US,408101,潜艇,Submarine,铁血,Iron Blood,,,U-37,优米娜,
KMS U-410,U-410,ko-KR,en-US,408111,潜艇,Submarine,铁血,Iron Blood,,,U-410,优斯伊丽,
KMS U-47,U-47,ko-KR,en-US,408021,潜艇,Submarine,铁血,Iron Blood,,,U-47,优希娜,
KMS U-522,U-522,ko-KR,en-US,408071,潜艇,Submarine,铁血,Iron Blood,,,U-522,优柯妮妮,
KMS U-552,U-552,ko-KR,en-US,408141,潜艇,Submarine,铁血,Iron Blood,,,U-552,优可可妮,
KMS U-556,U-556,ko-KR,en-US,408041,潜艇,Submarine,铁血,Iron Blood,,,U-556,优可可洛,
KMS U-557,U-557,ko-KR,en-US,408031,潜艇,Submarine,铁血,Iron Blood,,,U-557,优可可娜,
KMS U-73,U-73,ko-KR,en-US,408051,潜艇,Submarine,铁血,Iron Blood,,,U-73,优娜米,
KMS U-81,U-81,ko-KR,en-US,408011,潜艇,Submarine,铁血,Iron Blood,,,U-81,优哈依,
KMS U-96,U-96,ko-KR,en-US,408091,潜艇,Submarine,铁血,Iron Blood,,,U-96,优玖露,
KMS Ulrich von Hutten,울리히 폰 후텐,ko-KR,en-US,405031,战列,Battleship,铁血,Iron Blood,,,乌尔里希·冯·胡滕,乌尔里克·冯·胡贝尔,
KMS Weser,베저,ko-KR,en-US,406011,轻航,Light Carrier,铁血,Iron Blood,,,威悉,威尔玛,
KMS Wilhelm Heidkamp,Z21,ko-KR,en-US,401211,驱逐,Destroyer,铁血,Iron Blood,,,Z21,威尔赫米娜,
KMS Wolfgang Zenker,Z9,ko-KR,en-US,401091,驱逐,Destroyer,铁血,Iron Blood,,,Z9,沃尔普加,
KMS Z23,Z23,ko-KR,en-US,401231,驱逐,Destroyer,铁血,Iron Blood,,,Z23,妮米,
KMS Z24,Z24,ko-KR,en-US,401241,驱逐,Destroyer,铁血,Iron Blood,,,Z24,妮丝,
KMS Z25,Z25,ko-KR,en-US,401251,驱逐,Destroyer,铁血,Iron Blood,,,Z25,妮可,
KMS Z26,Z26,ko-KR,en-US,401261,驱逐,Destroyer,铁血,Iron Blood,,,Z26,妮露,
KMS Z28,Z28,ko-KR,en-US,401281,驱逐,Destroyer,铁血,Iron Blood,,,Z28,妮娅,
KMS Z35,Z35,ko-KR,en-US,401351,驱逐,Destroyer,铁血,Iron Blood,,,Z35,咪菓,
KMS Z36,Z36,ko-KR,en-US,401361,驱逐,Destroyer,铁血,Iron Blood,,,Z36,咪露,
KMS Z43,Z43,ko-KR,en-US,401431,驱逐,Destroyer,铁血,Iron Blood,,,Z43,希咪,
KMS Z46,Z46,ko-KR,en-US,401461,驱逐,Destroyer,铁血,Iron Blood,,,Z46,希露,
KMS Z47,Z47,ko-KR,en-US,401471,驱逐,Destroyer,铁血,Iron Blood,,,Z47,希娜,
KMS Z52,Z52,ko-KR,en-US,401521,驱逐,Destroyer,铁血,Iron Blood,,,Z52,柯妮,
KMS Ägir,꼬마 에기르,ko-KR,en-US,403161,超巡,Large Cruiser,铁血,Iron Blood,,,小埃吉尔,小埃格妮丝,꼬마 에기르 [铁血 超巡] | 에기르 [铁血 超巡]
KMS Ägir,에기르,ko-KR,en-US,499051,超巡,Large Cruiser,铁血,Iron Blood,,,埃吉尔,埃格妮丝,꼬마 에기르 [铁血 超巡] | 에기르 [铁血 超巡]
Kongou,콘고,ko-KR,en-US,304011,战巡,Battlecruiser,重樱,Sakura Empire,,,金刚,鲤,
Kongou μ,콘고(μ장비),ko-KR,en-US,304081,战巡,Battlecruiser,重樱,Sakura Empire,μ兵装,,金刚(μ兵装),鲤(μ兵装),
Konjiki no Yami,금빛 어둠,ko-KR,en-US,900476,战列,Battleship,联动阵营,Collab,,,金色暗影,,
Kotegawa Yui,코테가와 유이,ko-KR,en-US,900478,正航,Aircraft Carrier,联动阵营,Collab,,,古手川唯,,
Kotori Itsuka,이츠카 코토리,ko-KR,en-US,11500031,战列,Battleship,联动阵营,Collab,,,五河琴里,,
Krasny Kavkaz,크라스늬 캅카스,ko-KR,en-US,702091,轻巡,Light Cruiser,北方联合,Northern Parliament,,,红色山脉,,
Kronshtadt,크론시타트,ko-KR,en-US,718011,超巡,Large Cruiser,北方联合,Northern Parliament,,,喀琅施塔得,,
Kumano,쿠마노,ko-KR,en-US,303181,重巡,Heavy Cruiser,重樱,Sakura Empire,,,熊野,猁,
Kuroshio,쿠로시오,ko-KR,en-US,301271,驱逐,Destroyer,重樱,Sakura Empire,,,黑潮,蓉,
Kursk,쿠르스크,ko-KR,en-US,703021,重巡,Heavy Cruiser,北方联合,Northern Parliament,,,库尔斯克,,
Kurumi Tokisaki,토키사키 쿠루미,ko-KR,en-US,11500051,轻巡,Light Cruiser,联动阵营,Collab,,,时崎狂三,,
Kuybyshev,쿠이비셰프,ko-KR,en-US,702051,轻巡,Light Cruiser,北方联合,Northern Parliament,,,古比雪夫,,
Köln,쾰른,ko-KR,en-US,402031,轻巡,Light Cruiser,铁血,Iron Blood,,,科隆,克劳迪亚,
Köln META,쾰른·META,ko-KR,en-US,9702101,轻巡,Light Cruiser,META,META,META,,科隆·META,克劳迪亚·META,
